"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_EVENT_PASS_MINI_PURCHASE_INFO","Purchase Mini Event Pass to gain access to more Rewards","اشترِ تذكرة الحدث المصغر لكسب المزيد من الجوائز","购买迷你活动令牌以获取更多奖励","購買迷你活動通行證以獲取更多獎勵","Sichere dir den Mini-Ereignispass, um Zugriff auf mehr Belohnungen zu erhalten.","Compra el minipase de evento para acceder a más recompensas.","برای دسترسی به جوایز بیشتر، بلیت رویداد مینی بخرید","Osta minitapahtumapassi, niin saat enemmän palkintoja","Achetez le mini pass d'événement pour plus de récompenses.","Beli Tiket Acara Mini untuk mengakses lebih banyak Hadiah!","Acquista il Pass del minievento per accedere a ricompense aggiuntive!","ミニイベントパスを購入してさらなる報酬を手に入れましょう！","미니 이벤트 패스를 구매해 더 많은 보상을 획득할 기회를 얻으세요!","Beli Pas Acara Mini untuk mendapat akses kepada lebih ganjaran","Koop de mini-Event Pass om toegang te krijgen tot extra beloningen.","Kjøp et minipass for å få tilgang til flere belønninger","Compre o bilhete de minievento para acessar mais recompensas","Купите пропуск мини-события, чтобы получить доступ к дополнительным наградам","ซื้อบัตรอีเวนท์มินิเพื่อเข้าถึงรางวัลมากขึ้น","Daha fazla ödül için mini etkinlik bileti satın al.","Mua Vé Sự kiện Mini để có thể nhận thêm phần thưởng."
"TID_EP_MINI_RECEIVED","Mini Event Pass received!","تلقيت تذكرة الحدث المصغر!","已获得迷你活动令牌！","已獲取迷你活動通行證！","Mini-Ereignispass erhalten!","¡Se ha recibido el minipase de evento!","بلیت رویداد مینی دریافت شد!","Minitapahtumapassi vastaanotettu!","Mini pass d'événement débloqué !","Tiket Acara Mini diterima!","Pass del minievento ricevuto!","ミニイベントパスが付与されました！","이벤트 패스 획득!","Pas Acara Mini diterima!","Mini-Event Pass ontvangen!","Minipass mottatt!","Bilhete de minievento recebido!","Получен пропуск мини-события!","ได้รางวัลบัตรอีเวนท์มินิแล้ว!","Mini etkinlik bileti alındı!","Đã nhận Vé Sự kiện Mini!"
"TID_ME_MINI_BONUS_POINTS_INFO","Gain <num> <soft_currency> by purchasing the Mini Event Pass!","احصل على <num> من <soft_currency> عبر شراء تذكرة الحدث المصغر!","购买迷你活动令牌可获得<num><soft_currency>！","購買迷你活動通行證可獲得<num><soft_currency>！","Sichere dir <num> <soft_currency>, indem du dir den Mini-Ereignispass holst!","¡Consigue <num> <soft_currency>(s) comprando el minipase de evento!","با خرید بلیت رویداد مینی، <num> <soft_currency> کسب کنید!","Hankkimalla minitapahtumapassin saat <num> x <soft_currency>!","Gagnez <num> <soft_currency> en achetant le mini pass d'événement !","Dapatkan <num> <soft_currency> dengan membeli Tiket Acara Mini!","Ottieni <num> unità di <soft_currency> acquistando il Pass del minievento!","ミニイベントパスを購入して<soft_currency>を<num>入手しましょう！","미니 이벤트 패스를 구매해 <soft_currency> <num>개를 획득하세요!","Memperoleh <num> <soft_currency> dengan membeli Pas Acara Mini!","Verdien <num> <soft_currency> door de mini-Event Pass te kopen!","Kjøp minipasset for å få <num>x <soft_currency>!","Compre o bilhete de minievento e ganhe <num>x <soft_currency>","Получите <num> ед. ресурса «<soft_currency>», купив пропуск мини-события!","รับ<soft_currency> <num> หน่วยเมื่อซื้อบัตรอีเวนท์มินิ!","Mini etkinlik biletini satın aldığında <num> <soft_currency> kazanırsın!","Mua Vé Sự kiện Mini để nhận được <num> <soft_currency>!"
"TID_EP_MINI_REWARD_LOCKED_NEED_PREMIUM","You need the Mini Event Pass to unlock this Reward.","تحتاج إلى تذكرة الحدث المصغر لفتح هذه الجائزة.","您需获得迷你活动令牌才能解锁该奖励。","你需獲得迷你活動通行證才能解鎖該獎勵。","Du benötigst den Mini-Ereignispass, um diese Belohnung freizuschalten.","Necesitas el minipase de evento para desbloquear esta recompensa.","برای باز کردن قفل این جایزه، به بلیت رویداد مینی نیاز دارید.","Tarvitset minitapahtumapassin tämän palkinnon avaamiseen.","Il vous faut le mini pass d'événement pour débloquer cette récompense.","Perlu Tiket Acara Mini untuk membuka Hadiah ini.","Ti serve il Pass del minievento per sbloccare la ricompensa.","この報酬をアンロックするにはミニイベントパスが必要です。","해당 보상을 잠금 해제하려면 미니 이벤트 패스가 필요합니다.","Anda perlukan Pas Acara Mini untuk membuka ganjaran ini.","Je hebt de mini-Event Pass nodig om deze beloning te ontgrendelen.","Du må ha minipasset for å låse opp denne belønningen.","Você precisa do bilhete de minievento para liberar esta recompensa.","Чтобы открыть эту награду, нужен пропуск мини-события.","ท่านต้องมีบัตรอีเวนท์มินิเพื่อปลดล็อครางวัลนี้","Bu ödülü açmak için mini etkinlik bileti gerekiyor.","Bạn cần có Vé Sự kiện Mini để mở khóa phần thưởng này."
"TID_EP_MINI_ACTIVATE_BANNER_TITLE","Activate Mini Event Pass","تفعيل تذكرة الحدث المصغر","启用迷你活动令牌","啟用迷你活動通行證","Mini-Ereignispass aktivieren","Activación del minipase de evento","بلیت رویداد مینی را فعال کنید","Aktivoi minitapahtumapassi","Activer le mini pass d'événement","Aktifkan Tiket Acara Mini","Attiva il Pass del minievento!","ミニイベントパスを有効化","미니 이벤트 패스 활성화","Aktifkan Pas Acara Mini","Mini-Event Pass activeren","Aktiver minipasset","Ativar bilhete de minievento?","Активация пропуска мини-события","เปิดใช้งานบัตรอีเวนท์มินิ","Mini Etkinlik Biletini Etkinleştir","Kích hoạt Vé Sự kiện Mini"
"TID_EVENT_MINI_PASS_ACTIVATE_TITLE","Activate Mini Event Pass!","قم بتفعيل تذكرة الحدث المصغر!","启用迷你活动令牌！","啟用迷你活動通行證！","Mini-Ereignispass aktivieren!","¡Activa el minipase de evento!","بلیت رویداد مینی را فعال کنید!","Aktivoi minitapahtumapassi!","Activez le mini pass d'événement !","Aktifkan Tiket Acara Mini!","Attiva il Pass del minievento!","ミニイベントパスを有効化！","미니 이벤트 패스를 활성화하세요!","Aktifkan Pas Acara Mini!","Activeer de mini-Event Pass!","Aktiver minipasset!","Ativar bilhete de minievento?","Активация пропуска мини-события","เปิดใช้งานบัตรอีเวนท์มินิ!","Mini Etkinlik Biletini Etkinleştir!","Kích hoạt Vé Sự kiện Mini!"
"TID_EVENT_PASS_MINI_ACTIVATE_TEXT","Activate Mini Event Pass to get more Rewards!","قم بتفعيل تذكرة الحدث المصغر لنيل مزيد من الجوائز.","启用迷你活动令牌以获取更多奖励！","啟用迷你活動通行證以獲取更多獎勵！","Aktiviere den Mini-Ereignispass und hol dir mehr Belohnungen!","Activa el minipase de evento para ganar más recompensas.","برای دریافت جوایز بیشتر، بلیت رویداد مینی را فعال کنید!","Osta minitapahtumapassi, niin saat enemmän palkintoja!","Activez le mini pass d'événement pour obtenir plus de récompenses !","Aktifkan Tiket Acara Mini untuk meraih lebih banyak Hadiah!","Attiva il Pass del minievento per poter vincere più ricompense!","ミニイベントパスを有効化して報酬をさらに獲得しましょう！","미니 이벤트 패스를 활성화해 더 많은 보상을 받으세요!","Aktifkan Pas Acara Mini untuk mendapatkan lebih ganjaran!","Activeer de mini-Event Pass om meer beloningen te krijgen!","Aktiver minipasset for å få flere belønninger!","Ative o bilhete de minievento para ganhar mais recompensas!","Активируйте пропуск мини-события, чтобы получить больше наград!","เปิดใช้งานบัตรอีเวนท์มินิเพื่อรับรางวัลมากขึ้น!","Daha fazla ödül için mini etkinlik biletini etkinleştir!","Kích hoạt Vé Sự kiện Mini để nhận thêm phần thưởng!"
"TID_EP_MINI_ACTIVATE_COUNTDOWN","Mini Event Pass activation window ends in <time>","ستنتهي نافذة تفعيل تذكرة الحدث المصغر خلال <time>","启用迷你活动令牌的窗口将在<time>后关闭","啟用迷你活動通行證的時限將在<time>後結束","Übrige Zeit zur Aktivierung des Mini-Ereignispasses: <time>","El período para poder activar el minipase termina en <time>.","پنجره فعال‌سازی بلیت رویداد مینی پس از <time> پایان می‌یابد","Minitapahtumapassin aktivoiminen on mahdollista vielä <time> ajan","Fin de la période d'activation du mini pass d'événement : <time>","Masa aktivasi Tiket Acara Mini akan berakhir dalam <time>","Non sarà più possibile attivare il Pass del minievento tra <time>.","ミニイベントパスの有効化画面終了まで：<time>","미니 이벤트 패스 활성화 화면 종료까지: <time>","Tempoh pengaktifan Pas Acara Mini tamat dalam <time>","Het activeringsscherm voor de mini-Event Pass sluit over <time>.","Vinduet for aktivering av minipasset er over om <time>","O período de ativação do bilhete de minievento termina em <time>","Пропуск мини-события можно активировать еще <time>","ช่วงเวลาเปิดใช้งานบัตรอีเวนท์มินิจะสิ้นสุดใน <time>","Mini etkinlik bileti etkinleştirme süresinin bitmesine: <time>","Cửa sổ kích hoạt Vé Sự kiện Mini sẽ đóng lại sau: <time>."
"TID_EP_MINI_ACTIVATE_SCID_CONFIRM","Your Supercell ID has <num> x Mini Event Pass available. Activate one for this Event?","معرف Supercell ID الخاص بك يتضمن <num> من تذاكر الأحداث المصغرة. هل تريد تفعيل واحدة لهذا الحدث؟","您的Supercell ID存有<num>个迷你活动令牌。要为本次活动启用一个吗？","你的Supercell ID存有<num>個迷你活動通行證。要為本次活動啟用一個嗎？","Deine Supercell ID verfügt über <num> Exemplar(e) des Mini-Ereignispasses. Möchtest du für dieses Ereignis einen aktivieren?","Tu Supercell ID tiene <num> minipase(s) de evento disponible(s). ¿Quieres activar uno para este evento?","در Supercell ID شما <num> بلیت رویداد مینی دردسترس است. یکی برای این رویداد فعال شود؟","Supercell ID:lläsi on saatavilla minitapahtumapasseja (<num> kpl). Haluatko aktivoida niistä yhden tätä tapahtumaa varten?","Vous avez <num>x Mini pass d'événement sur votre Supercell ID. En activer un pour cet événement ?","Ada <num> Tiket Acara Mini yang tersedia di Supercell ID milikmu. Aktifkan 1 Tiket untuk Acara ini?","Nel Supercell ID hai a disposizione <num> Pass del minievento. Vuoi attivarne uno per l'evento in corso?","あなたのSupercell IDにはミニイベントパスが<num>個あります。このイベントのために1個有効化しますか？","Supercell ID에 사용 가능한 미니 이벤트 패스가 <num>개 있습니다. 이 이벤트에 하나를 활성화할까요?","Supercell ID anda mempunyai <num> Pas Acara Mini. Aktifkan satu untuk acara ini?","Je Supercell ID heeft <num> mini-Event Pass(es) beschikbaar. Wil je er een activeren voor dit evenement?","Supercell ID-en din har <num> minipass. Vil du aktivere et til denne hendelsen?","Seu Supercell ID tem bilhetes de minievento disponíveis (<num>). Ativar um para este evento?","Пропусков мини-события в вашем Supercell ID: <num>. Активировать один для этого события?","Supercell ID ของท่านมีบัตรอีเวนท์มินิ <num> ใบ ท่านต้องการเปิดใช้งานหนึ่งใบสำหรับอีเวนท์นี้หรือไม่?","Supercell ID'nde <num> mini etkinlik bileti var. Bu etkinlik için birini etkinleştirmek ister misin?","Supercell ID của bạn có <num> Vé Sự kiện Mini khả dụng. Kích hoạt một Vé cho Sự kiện này?"
"TID_EP_MINI_ACTIVATE_SCID_TITLE","Activate Mini Event Pass?","أتريد تفعيل تذكرة الحدث المصغر؟","启用迷你活动令牌？","要啟用迷你活動通行證嗎？","Mini-Ereignispass aktivieren?","¿Activar minipase de evento?","بلیت رویداد مینی را فعال می‌کنید؟","Aktivoi minitapahtumapassi?","Activer le mini pass d'événement ?","Aktifkan Tiket Acara Mini?","Attivazione del Pass del minievento","ミニイベントパスを有効化しますか？","미니 이벤트 패스를 활성화할까요?","Aktifkan Pas Acara Mini?","Mini-Event Pass activeren?","Aktivere minipasset?","Ativar bilhete de minievento?","Активация пропуска мини-события","เปิดใช้งานบัตรอีเวนท์มินิหรือไม่?","Mini etkinlik bileti etkinleştirilsin mi?","Kích hoạt Vé Sự kiện Mini?"
"TID_MINI_LEVEL_STATUS","Level <level> Charge <charge>","الشحنة <charge> للمستوى <level>","<level>级 充能<charge>级","<level>級 蓄能<charge>級","Level <level>, Aufladung <charge>","Nivel <level>, carga <charge>","سطح <level> حمله <charge>","Taso <level>, lataus <charge>","Niveau <level> | Charge <charge>","Level <level>, Buster Super <charge>","Liv. <level> - Sovracc. <charge>","レベル<level> チャージレベル<charge>","<level>레벨 / 충전: <charge>회","Tahap <level> Cas <charge>","Level <level> - boostniveau <charge>","Nivå <level> Styrke <charge>","Nív. <level>, supercarga <charge>","Уровень <level>, фаза <charge>","เลเวล <level> ชาร์จเลเวล <charge>","Seviye <level> Şarj <charge>","Cường hóa <level> Cấp <charge>"
