"TID","TH"
"TID_ACHIEVEMENT_GEAR_UP_TITLE","เกียร์สูง"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","เลเวลคลังเก็บทองคำสูงสุด: <value>"
"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","คลังสมบัติใหญ่ยิ่งขึ้น"
"TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","อัปเกรดคลังเก็บทองคำเป็นเลเวล <number>"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","เข้าร่วมลีกคริสตัล"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","ไปถึงลีกยอดฝีมือ"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","เป็นแชมเปียน!"
"TID_ACHIEVEMENT_LEAGUE_TITLE","ลีกรวมดาว"
"TID_ACHIEVEMENT_LOOT_CAPITAL","ปล้นทองคำเมืองหลวง <number> เหรียญระหว่างการโจมตีปล้นสะดม"
"TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED","ทองคำเมืองหลวงที่ปล้นทั้งหมด: <value>"
"TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE","ทุนนิยมหัวรุนแรง"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","ขโมยน้ำอมฤตมืด <number> หยด"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","น้ำอมฤตมืดที่ปล้นได้ทั้งหมด: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","ปล้นอย่างห้าวหาญ"
"TID_ACHIEVEMENT_LOOT_ELIXIR","ขโมยน้ำอมฤต <number> หยด"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","น้ำอมฤตที่ปล้นได้ทั้งหมด: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","กวาดน้ำอมฤต"
"TID_ACHIEVEMENT_LOOT_GOLD","ขโมยทองคำ <number> เหรียญ"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","ทองคำที่ปล้นได้ทั้งหมด: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","โกยทองคำ"
"TID_ACHIEVEMENT_NPC_STARS","ชนะ <number> ดาวบนแผนที่แคมเปญ"
"TID_ACHIEVEMENT_NPC_STARS3_TITLE","จัดการก็อบลินเพิ่มอีกสิ!"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","ดาวในแผนที่การศึก: <value>"
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","จัดการก็อบลินที่เหลือเสีย!"
"TID_ACHIEVEMENT_NPC_STARS_TITLE","จัดการก็อบลินพวกนั้นเสีย!"
"TID_ACHIEVEMENT_PEKKA_SLAYER","เอาชนะ M.O.M.M.A ในแผนที่การศึก"
"TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE","เด็กเนรคุณ"
"TID_ACHIEVEMENT_PVP_ATTACKS","ชนะการรบแบบผู้เล่นหลายคน <number> ครั้ง"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","การรบแบบผู้เล่นหลายคนที่ชนะทั้งหมด: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","ผู้พิชิต"
"TID_ACHIEVEMENT_PVP_DEFENSES","ป้องกันจากการโจมตีได้สำเร็จ <number> ครั้ง"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","การป้องกันที่ชนะทั้งหมด: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","ไร้เทียมทาน"
"TID_ACHIEVEMENT_REPAIR_BUILDING","สร้าง <name> ใหม่"
"TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE","สมบัติซุกซ่อน"
"TID_ACHIEVEMENT_REWARD_CLAIMED","ความสำเร็จเสร็จสิ้นแล้ว! ท่านได้รับอัญมณี <number> เม็ด"
"TID_ACHIEVEMENT_SCID_BOUND_TITLE","เชื่อมต่อบัญชีไปยัง Supercell ID เพื่อรักษาบัญชีให้ปลอดภัย"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS","รับ <number> คะแนนในความท้าทายประจำฤดูกาล"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED","คะแนนความท้าทายประจำฤดูกาลทั้งหมด: <value>"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","ฤดูกาลเปี่ยมประสบการณ์"
"TID_ACHIEVEMENT_SPELL_DONATION","บริจาคอาคมเท่าปริมาณความจุคลังอาคม <number> หน่วย"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","บริจาคความจุอาคมไปทั้งหมด: <value>"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","เพราะห่วงใยจึงแบ่งปัน"
"TID_ACHIEVEMENT_TOWN_HALL","อัปเกรดศาลากลางเป็นเลเวล <number>"
"TID_ACHIEVEMENT_TOWN_HALL2","อัปเกรดหอช่างก่อสร้างเป็นเลเวล <number>"
"TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED","เลเวลปัจจุบันของหอช่างก่อสร้าง: <value>"
"TID_ACHIEVEMENT_TOWN_HALL2_TITLE","ยอดฝีมือวิศวกรรม"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","เลเวลศาลากลางปัจจุบัน: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_TITLE","ยิ่งใหญ่ยิ่งดี"
"TID_ACHIEVEMENT_UNIT_UNLOCK","ปลดล็อค <name> ในโรงทหาร"
"TID_ACHIEVEMENT_UNIT_UNLOCK2","ปลดล็อค <name> ในโรงทหารช่างก่อสร้าง"
"TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE","โมเดลรุ่นถัดไป"
"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","ปลดปล่อยสัตว์ร้าย"
"TID_ACHIEVEMENT_VICTORY_POINTS","ได้รับถ้วยรางวัลทั้งหมด <number> ถ้วยในการรบแบบผู้เล่นหลายคน"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","บันทึกถ้วยรางวัล: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","ชัยชนะอันแสนหวาน!"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES","ได้รับถ้วยรางวัลทั้งหมด <number> ถ้วยในศึกช่างก่อสร้าง"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED","บันทึกถ้วยรางวัลศึกช่างก่อสร้าง: <value>"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE","ช่างก่อสร้างแชมเปียน"
"TID_ACHIEVEMENT_WAR_LOOT","เก็บทองคำ <number> เหรียญจากกรมคลัง"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","ทองคำทั้งหมดที่เก็บได้ในโบนัสสงครามแคลน: <value>"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","เจ้ากรมคลัง"
"TID_ACHIEVEMENT_WAR_STARS","ได้รับดาว <number> ดวงสำหรับแคลนของท่านในการรบสงครามแคลน"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","ดาวทั้งหมดที่ได้รับสำหรับแคลนในการรบสงครามแคลน: <value>"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","วีรชนสงคราม"
"TID_ACHIEVEMENT_WL_STARS","ได้รับดาว <number> ดวงสำหรับแคลนของท่านในการรบลีกสงคราม"
"TID_ACHIEVEMENT_WL_STARS_COMPLETED","ดาวทั้งหมดที่ได้รับสำหรับแคลนในการรบลีกสงคราม: <value>"
"TID_ACHIEVEMENT_WL_STARS_TITLE","ตำนานลีกสงคราม"
"TID_ACTIVE_ABILITY","ความสามารถแบบกดใช้"
"TID_ADDITIONAL_DAMAGE_PER_TARGET_HP","ความเสียหายเพิ่มเติม: <number>%"
"TID_ADD_FRIENDS_INFO","เพื่อนจาก Game Center จะปรากฏเมื่อท่านล็อกอินเข้าไปยัง Game Center"
"TID_ADD_FRIENDS_INFO_ANDROID","เพื่อนจาก Google Play จะมาเร็วๆ นี้!"
"TID_ADD_FRIENDS_INFO_CLASH","เพิ่มผู้เล่นเป็นเพื่อน Clash เพื่อเริ่มการท้าฉันมิตรและติดตามพวกเขาใน Clash of Clans!"
"TID_ADD_FRIENDS_INFO_REQUESTS","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Game Center และ Supercell ID จะปรากฏโดยอัตโนมัติเมื่อท่านล็อกอิน"
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Supercell ID จะปรากฏโดยอัตโนมัติเมื่อท่านล็อกอิน"
"TID_ADD_FRIENDS_INFO_REQUESTS_KUNLUN","เพิ่มเพื่อนแคลชจากประวัติผู้เล่นของพวกเขา"
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก WeChat หรือ QQ จะปรากฏโดยอัตโนมัติเมื่อท่านได้ล็อกอิน"
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","เพิ่มเพื่อนแคลชจากประวัติผู้เล่นของพวกเขา"
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","ผู้เล่นที่ท่านพยายามเพิ่มไม่มีอยู่"
"TID_ADD_FRIEND_ERROR_GENERIC","ไม่สามารถส่งคำเชิญเพื่อนได้ โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","ไม่สามารถเชิญตัวเองเป็นเพื่อนได้!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","เพื่อนของท่านมีเพื่อนมากเกินไป โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","ท่านมีเพื่อนมากเกินไป ลบเพื่อนออกสักคนหากท่านอยากเพิ่มเพื่อนใหม่"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","เพื่อนของท่านมีคำขอรออยู่มากเกินไป โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","ท่านได้ส่งคำขอเป็นเพื่อนมากเกินไป ลบคำขอสักคำแล้วลองอีกครั้ง"
"TID_ADVANCED_MEGA_TRAP","ทุ่นระเบิดขั้นเทพ"
"TID_ADVANCED_MEGA_TRAP_INFO","เป็นการทำลายล้างขนาดหนักที่ซุกซ่อนอยู่ เลือกอากาศหรือพื้นดินก็ได้!"
"TID_ADVANCED_SEARCH_BUTTON_LESS","ซ่อนตัวเลือกขั้นสูง"
"TID_ADVANCED_SEARCH_BUTTON_MORE","ตัวเลือกขั้นสูง"
"TID_ADVANCED_SETTINGS","การตั้งค่าเพิ่มเติม"
"TID_ADVANCED_SETTINGS_BUTTON","แสดง"
"TID_ADVANCED_TRAP","ทุ่นระเบิด"
"TID_ADVANCED_TRAP_INFO","วางแผนเซอร์ไพรส์ตูมตามแก่กองกำลังที่เข้ามาใกล้เกินไป เลือกเอาว่าจะในอากาศหรือบนพื้นดิน"
"TID_AD_SEEKER","สุนัขลาวา"
"TID_AD_SEEKER_FRAG","ลูกสุนัขลาวา"
"TID_AGE_GATE_ERROR_PROMPT","กรุณากรอกอายุของท่านเพื่อไปต่อ"
"TID_AGE_GATE_TITLE","ท่านอายุเท่าใด?"
"TID_AIR_BLASTER","เครื่องกวาดอากาศ"
"TID_AIR_BLASTER_INFO","เครื่องกวาดอากาศควบคุมท้องฟ้าด้วยระเบิดอากาศรุนแรงที่ผลักศัตรูบินได้ออกไป เครื่องกวาดอากาศสามารถเผชิญหน้าได้ทิศทางเดียว ดังนั้นจึงต้องหันมันเพื่อให้เกิดประสิทธิภาพสูงสุด"
"TID_AIR_DEFENSE2_INFO","สำหรับการป้องกันทางอากาศรุ่นใหญ่ยักษ์ ใช้ระเบิดอากาศจัดการได้ ถังระเบิดจำนวนไม่จำกัดจะถูกปล่อยขึ้นไปบนท้องฟ้าเพื่อทลายศัตรูที่บินได้!"
"TID_AIR_DEFENSE_INFO","หอคอยต้านทานทางอากาศนี้ให้ผลถึงตายต่อศัตรูบินได้ แต่ไม่สามารถจัดการศัตรูบนพื้นดิน เลือกตำแหน่งดีๆ ให้มันครอบคลุมพื้นที่ในอากาศให้มากที่สุดเท่าที่ทำได้"
"TID_AIR_DEFENSE_SMALL_INFO","กำจัดตัวน่ารำคาญที่บินว่อนด้วยฝูงจรวดลำเล็ก! คล้ายๆ ที่ช็อตแมลง แต่สวยกว่า"
"TID_ALLIANCE_ACCEPTED_BY","รับโดย <name>"
