"TID","RU"
"TID_ACHIEVEMENT_CASTLE_UPGRADE","Повысьте уровень крепости клана до <number>-го"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Бросить вызов друзьям"
"TID_ACHIEVEMENT_CLAIM_BUTTON","Забрать"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS","Заработайте <number> оч. в Играх кланов"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED","Всего очков Игр кланов: <value>"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE","Чемпион игр"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II","Чемпион игр II"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III","Чемпион игр III"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES","Уберите <number> препятствий (деревья, камни и кусты)"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Препятствий убрано: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","Чистота и порядок"
"TID_ACHIEVEMENT_COMPLETED","Достижение получено!"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Уничтожьте <number> орлиных артиллерий в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Уничтожено орудий орлиной артиллерии: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Гроза артиллерии"
"TID_ACHIEVEMENT_DESTROY_BUILDER","Уничтожьте <number> хижин строителей в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Хижин строителей уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","Борец с профсоюзами"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Уничтожьте <number> адских башен в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Адских башен уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Огнеборец"
"TID_ACHIEVEMENT_DESTROY_MONOLITH","Уничтожьте монолиты (<number>) в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED","Монолитов уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE","Крушитель монолитов"
"TID_ACHIEVEMENT_DESTROY_MORTARS","Уничтожьте <number> мортир в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Мортир уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","Разрушитель мортир"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT","Уничтожьте <number> швырятелей в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED","Всего швырятелей уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE","Расшвыряй и властвуй"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER","Уничтожьте башни заклинаний (<number>) в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED","Башен заклинаний уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE","Противостояние заклинаниям"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL","Уничтожьте <number> ратуш в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2","Уничтожьте дома строителя (<number>) во время боя в деревне строителя"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED","Уничтожено домов строителя: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE","Разрушитель"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Ратуш уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","Обидчик"
"TID_ACHIEVEMENT_DESTROY_WALLS","Уничтожьте <number> стен в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Стен уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","Стенобой"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS","Уничтожьте <number> снаряженных оружием хижин строителя в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED","Уничтожено хижин строителя с оружием: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE","Погром"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH","Уничтожьте <number> снаряженных оружием ратуш в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED","Уничтожено ратуш с оружием: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE","Не так-то просто"
"TID_ACHIEVEMENT_DESTROY_XBOW","Уничтожьте <number> арбалетов в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Арбалетов уничтожено: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Уничтожьте один арбалет в многопользовательском режиме"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","Ликвидатор арбалетов"
"TID_ACHIEVEMENT_DONATE_CAPITAL","Пожертвуйте золото столицы (<number>) на улучшения в столице клана"
"TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED","Пожертвовано золота столицы: <value>"
"TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE","Самый ценный участник клана"
"TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED","Осадных машин пожертвовано: <value>"
"TID_ACHIEVEMENT_DONATE_SIEGES","Пожертвуйте осадную машину <number> р."
"TID_ACHIEVEMENT_DONATE_SIEGES_TITLE","Осадная щедрость"
"TID_ACHIEVEMENT_DONATE_UNITS","Отправьте в подкрепление войска, занимающие в сумме <number> мест в крепости клана"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Заполнено мест: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","Настоящий друг"
"TID_ACHIEVEMENT_DRAGON_SLAYER","Уничтожьте гигантского дракона на карте кампании"
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","Убийца драконов"
"TID_ACHIEVEMENT_GEAR_UP","Модернизируйте здания (<number>) с помощью главного строителя"
"TID_ACHIEVEMENT_GEAR_UP_COMPLETED","Модернизировано зданий: <value>"
"TID_ACHIEVEMENT_GEAR_UP_ONE","Модернизируйте одно здание с помощью главного строителя"
"TID_ACHIEVEMENT_GEAR_UP_TITLE","Модернизатор"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Высший уровень хранилища золота: <value>"
"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","Большие сундуки"
"TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","Повысьте уровень хранилища золота до <number>-го"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Присоединитесь к хрустальной лиге"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Попадите в Лигу мастеров"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Станьте чемпионом!"
"TID_ACHIEVEMENT_LEAGUE_TITLE","Звездная лига"
"TID_ACHIEVEMENT_LOOT_CAPITAL","Добудьте золото столицы (<number>), атакуя в рейдах"
"TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED","Добыто золота столицы: <value>"
"TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE","Агрессивный капитализм"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","Украдите <number> ед. черного эликсира"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Черного эликсира украдено: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","Героическая кража"
"TID_ACHIEVEMENT_LOOT_ELIXIR","Украдите <number> ед. эликсира"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Эликсира украдено: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","Эликсирная авантюра"
"TID_ACHIEVEMENT_LOOT_GOLD","Украдите <number> золотых"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Золота украдено: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","Жажда золота"
"TID_ACHIEVEMENT_NPC_STARS","Заработайте <number> звезд на карте кампании"
"TID_ACHIEVEMENT_NPC_STARS3_TITLE","Покажите еще и тем гоблинам!"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Звезд на карте кампании: <value>"
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","Покажите и этим гоблинам!"
"TID_ACHIEVEMENT_NPC_STARS_TITLE","Покажите этим гоблинам!"
"TID_ACHIEVEMENT_PEKKA_SLAYER","Защитите М.А.М.У. на карте кампании"
"TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE","Неблагодарное дитя"
"TID_ACHIEVEMENT_PVP_ATTACKS","Выиграйте <number> боев в многопользовательском режиме"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Выиграно боев в многопользовательском режиме: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","Завоеватель"
"TID_ACHIEVEMENT_PVP_DEFENSES","Отразите <number> атак"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Атак отбито: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","Несгибаемый"
"TID_ACHIEVEMENT_REPAIR_BUILDING","<name>: восстановите"
"TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE","Скрытые сокровища"
"TID_ACHIEVEMENT_REWARD_CLAIMED","Вам полагается <number> кристаллов за достижение."
"TID_ACHIEVEMENT_SCID_BOUND_TITLE","Сохраните учетную запись, подключив ее к Supercell ID"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS","Заработайте <number> очков в сезонных испытаниях"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED","Всего очков за сезонные испытания: <value>"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","Боевой опыт"
"TID_ACHIEVEMENT_SPELL_DONATION","Пожертвуйте заклинания, занимающие в сумме <number> мест"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Пожертвовано заклинаний, занимающих в сумме <value> мест"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Забота о ближнем"
"TID_ACHIEVEMENT_TOWN_HALL","Повысьте уровень ратуши до <number>-го"
"TID_ACHIEVEMENT_TOWN_HALL2","Улучшите дом строителя до <number>-го уровня"
"TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED","Текущий уровень дома строителя: <value>-й"
"TID_ACHIEVEMENT_TOWN_HALL2_TITLE","Искусный инженер"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Текущий уровень ратуши: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_TITLE","Больше и лучше"
"TID_ACHIEVEMENT_UNIT_UNLOCK","<name>: откройте в казарме"
"TID_ACHIEVEMENT_UNIT_UNLOCK2","<name>: откройте в казарме строителя"
"TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE","Передовая модель"
"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","Выпустить зверей!"
"TID_ACHIEVEMENT_VICTORY_POINTS","Завоюйте <number> трофеев в многопользовательском режиме"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Трофеев завоевано: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","Вкус победы"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES","Наберите <number> трофеев в боях деревни строителя"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED","Рекорд трофеев в боях деревни строителя: <value>"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE","Строитель-чемпион"
"TID_ACHIEVEMENT_WAR_LOOT","Заберите <number> золотых из сокровищницы"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Получено как бонус в войне кланов: <value>"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Хранитель сокровищ"
"TID_ACHIEVEMENT_WAR_STARS","Заработайте <number> звезд в войнах кланов"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Заработано звезд в сражениях войн кланов: <value>"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","Герой войны"
"TID_ACHIEVEMENT_WL_STARS","Заработайте <number> звезд в лигах войн кланов"
"TID_ACHIEVEMENT_WL_STARS_COMPLETED","Заработано звезд в сражениях лиг войн: <value>"
"TID_ACHIEVEMENT_WL_STARS_TITLE","Легенда военных лиг"
"TID_ACTIVE_ABILITY","Активная способность"
"TID_ADDITIONAL_DAMAGE_PER_TARGET_HP","Доп. урон: <number> %"
"TID_ADD_FRIENDS_INFO","Друзья из Game Center появляются, когда вы подключаетесь к Game Center."
"TID_ADD_FRIENDS_INFO_ANDROID","Скоро появятся друзья из Google Play!"
"TID_ADD_FRIENDS_INFO_CLASH","Добавьте друзей в Clash, чтобы участвовать в дружеских испытаниях и наблюдать за продвижением друзей в Clash of Clans!"
"TID_ADD_FRIENDS_INFO_REQUESTS","Добавьте друга в Clash прямо из его профиля. Друзья по Game Center и Supercell ID автоматически появляются при входе в учетную запись."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Добавьте друга в Clash прямо из его профиля. Друзья по Supercell ID автоматически появляются при входе в учетную запись."
"TID_ADD_FRIENDS_INFO_REQUESTS_KUNLUN","Добавляйте друзей в Clash прямо из их профиля!"
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Добавьте друга в Clash прямо из его профиля. Друзья по WeChat или QQ появляются в списке автоматически после входа в учетную запись."
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","Добавьте друга в Clash прямо из его профиля."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Игрока, которого вы пытались добавить, не существует."
"TID_ADD_FRIEND_ERROR_GENERIC","Не удалось отправить приглашение в друзья. Пожалуйста, попробуйте позже."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Нельзя приглашать в друзья себя!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","У этого игрока слишком много друзей. Пожалуйста, попробуйте позже."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","У вас слишком много друзей. Удалите одного, чтобы добавить нового."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","У вашего друга слишком много приглашений. Попробуйте позже."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Вы отправили слишком много приглашений. Удалите одно из них и попробуйте снова."
"TID_ADVANCED_MEGA_TRAP","Мегамина"
"TID_ADVANCED_MEGA_TRAP_INFO","Сюрприз с большой взрывной мощностью. Выберите противовоздушный или наземный режим."
"TID_ADVANCED_SEARCH_BUTTON_LESS","Убрать расширенные настройки"
"TID_ADVANCED_SEARCH_BUTTON_MORE","Расширенные настройки"
"TID_ADVANCED_SETTINGS","Дополнительные настройки"
"TID_ADVANCED_SETTINGS_BUTTON","Показать"
"TID_ADVANCED_TRAP","Мина"
"TID_ADVANCED_TRAP_INFO","Сюрприз для воинов, подошедших слишком близко. Выберите противовоздушный или наземный режим."
"TID_AD_SEEKER","Адская гончая"
"TID_AD_SEEKER_FRAG","Адский щенок"
"TID_AGE_GATE_ERROR_PROMPT","Чтобы продолжить, укажите свой возраст."
"TID_AGE_GATE_TITLE","Сколько вам лет?"
"TID_AIR_BLASTER","Чистильщик"
"TID_AIR_BLASTER_INFO","Чистильщики контролируют небеса, мощными потоками воздуха отбрасывая летающих противников. Чистильщики могут быть направлены только в одну сторону, так что повращайте их, чтобы найти лучшую позицию!"
"TID_AIR_DEFENSE2_INFO","Воздушные бомбы прекрасно подходят на роль тяжеловеса воздушной обороны: начиненные взрывчаткой бочки наносят огромный урон воздушным противникам!"
"TID_AIR_DEFENSE_INFO","Эта противовоздушная башня смертоносна для летающих врагов, но не может атаковать наземных. Разместите ее так, чтобы охватить как можно больше воздушного пространства."
"TID_AIR_DEFENSE_SMALL_INFO","Стайки маленьких ракет отгоняют летающих вредителей! В общем, действует почти как электромухобойка, только лучше."
"TID_ALLIANCE_ACCEPTED_BY","Принято игроком <name>"
"TID_ALLIANCE_BADGE_BROWSE","Просмотр"
"TID_ALLIANCE_BUTTON_EDIT","Изменить"
"TID_ALLIANCE_BUTTON_LEAVE","Покинуть"
"TID_ALLIANCE_BUTTON_SEARCH","Искать"
"TID_ALLIANCE_CASTLE_INFO","В крепости клана находятся сокровищница и отправленные соклановцами войска."
"TID_ALLIANCE_CREATE_ARRANGED_WARS","Дружеские войны"
"TID_ALLIANCE_CREATE_BADGE","Символ:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Описание:"
"TID_ALLIANCE_CREATE_NAME","Название клана:"
"TID_ALLIANCE_CREATE_OK","Вы основали новый клан!"
"TID_ALLIANCE_CREATE_SHOW_LOG","Общедоступный\nход войны"
"TID_ALLIANCE_CREATE_TH_LEVEL","Минимальный уровень ратуши:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Трофеи для вступления:"
"TID_ALLIANCE_CREATE_TYPE","Вид клана:"
"TID_ALLIANCE_DATA_FAILED_DELETED","Клан удален, его невозможно загрузить."
"TID_ALLIANCE_DATA_FAILED_GENERIC","Не удалось загрузить информацию о клане.\n\nПожалуйста, попробуйте позже."
"TID_ALLIANCE_DATA_FAILED_LOAD_FAILED","Не удалось загрузить информацию о клане.\n\nПожалуйста, попробуйте позже."
"TID_ALLIANCE_DATA_FAILED_NOT_FOUND","Не удалось найти клан."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Мне бы хотелось вступить в ваш клан."
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","Внимание, соклановцы!"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","Мне нужно подкрепление."
"TID_ALLIANCE_DEMOTE_BUTTON","Понизить (новый статус: <role>)"
"TID_ALLIANCE_DONATE_BUTTON_QUICK","Быстрое жертвование"
"TID_ALLIANCE_DONATE_BUTTON_RETURN","Назад"
"TID_ALLIANCE_DONATE_DONATED","Пожертвованные войска и заклинания:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Пожертвованные войска:"
"TID_ALLIANCE_DONATE_DONATE_INSTANTLY","Пожертвовать мгновенно:"
"TID_ALLIANCE_DONATE_HEADER","Пожертвовать подкрепление"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Пожертвовать заклинания:"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Пожертвовать войска:"
"TID_ALLIANCE_EXP_EARNED","+<value> к опыту клана"
"TID_ALLIANCE_GAMES_ABANDON_TASK","Удалить"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_HEADER","Испытания? Что это?"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_INFO","Зарабатывайте очки для своего клана, проходя испытания.\nКаждый участник клана может заработать определенное количество очков. Играйте активнее и получайте прекрасные награды для себя и для клана.\nСтарайтесь браться лишь за те испытания, которые вы сможете пройти за отведенное время."
"TID_ALLIANCE_GAMES_ALLIANCE_MISMATCH","Чтобы продолжить участвовать в Играх кланов, вам необходимо вновь вступить в клан «<alliance>» или ждать следующих Игр кланов."
"TID_ALLIANCE_GAMES_CHECKING_RESULTS","Проверка результатов..."
"TID_ALLIANCE_GAMES_CLAIM_REWARDS_BUTTON","Забрать награды"
"TID_ALLIANCE_GAMES_CLAN_TAB","Клан"
"TID_ALLIANCE_GAMES_COMPLETED_TASK","Готово"
"TID_ALLIANCE_GAMES_COMPLETE_TASK","Сдать"
"TID_ALLIANCE_GAMES_ENDING_IN","Осталось"
"TID_ALLIANCE_GAMES_EXPIRED_TASK","Время вышло"
"TID_ALLIANCE_GAMES_NO_ALLIANCE","Для участия в Играх кланов необходимо вступить в клан."
"TID_ALLIANCE_GAMES_NO_REWARDS_EARNED","Заработанных вашим кланом очков недостаточно для получения наград."
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_HEADER","Перерыв между испытаниями"
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_TEXT","Готовимся к новому испытанию..."
"TID_ALLIANCE_GAMES_PERSONAL_PROGRESS","Набрано очков"
"TID_ALLIANCE_GAMES_PICK_TASK_HEADER","Выберите испытание"
"TID_ALLIANCE_GAMES_PICK_TASK_INFO","Выберите одно из испытаний в списке слева и приступайте к его прохождению!"
"TID_ALLIANCE_GAMES_RESHUFFLE_BUTTON","Перемешать"
"TID_ALLIANCE_GAMES_REVIVE_TASK","Добавить"
"TID_ALLIANCE_GAMES_REWARDS_AFTER_END","Когда игры закончатся, вы сможете выбрать по одной награде для каждого из доступных вам уровней."
"TID_ALLIANCE_GAMES_REWARDS_NO_POINTS","Для получения наград необходимо проходить испытания и зарабатывать очки."
"TID_ALLIANCE_GAMES_REWARDS_TAB","Награды"
"TID_ALLIANCE_GAMES_STARTING_IN","До Игр кланов осталось"
"TID_ALLIANCE_GAMES_START_TASK","Начать"
"TID_ALLIANCE_GAMES_TASKS","Испытания:"
"TID_ALLIANCE_GAMES_TASK_TAB","Испытания"
"TID_ALLIANCE_GAMES_THANKS_FOR_PLAYING","Игры кланов завершились.\nДо новых встреч!"
"TID_ALLIANCE_GAMES_TOWN_HALL_TOO_LOW","Для участия в Играх кланов необходима ратуша <number>-го уровня."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Этот игрок уже в клане!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Вы уже пригласили этого игрока!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","Не удается пригласить: почта игрока заполнена!"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Невозможно пригласить: у игрока еще нет крепости клана!"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Лишь старейшины и главы могут приглашать новых игроков."
"TID_ALLIANCE_INVITATION_FAILED_USER_BANNED","Невозможно пригласить: игрок заблокирован в вашем клане!"
"TID_ALLIANCE_INVITATION_OK","Приглашение отправлено."
"TID_ALLIANCE_JOIN_BUTTON","Присоединиться"
