"TID","PT"
"TID_ACCOUNT_DELETION_WARNING_TITLE","Aviso de exclusão de conta"
"TID_ACCOUNT_DISABLED_TEXT","Conta desativada"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Código de desbloqueio inválido!"
"TID_ACCOUNT_LOCKED_TEXT2","Insira o código de desbloqueio aqui:"
"TID_ACCOUNT_LOCKED_TITLE","Conta bloqueada"
"TID_ACCOUNT_SWITCHING_NOT_SUPPORTED","Você fez login com uma conta do Game Center que pertence à vila de <name>.\n\nEsta vila está disponível para jogar, mas a troca de contas não é suportada em versões do iOS inferiores à 7. Para trocar de conta, atualize a sua versão do iOS.\n\nPara saber mais sobre as atualizações do iOS:\nhttp://support.apple.com/kb/HT4623?viewlocale=pt_BR"
"TID_ACHIEVEMENTS_COMPLETED","Concluídas:"
"TID_ACHIEVEMENTS_INFO","Conquistas também no Game Center"
"TID_ACHIEVEMENTS_INFO_ANDROID","Conquistas também no Google Play"
"TID_ACHIEVEMENTS_PROGRESS","Progresso"
"TID_ACHIEVEMENTS_REWARD","Recompensas:"
"TID_ACHIEVEMENTS_VILLAGE1","Conquistas da vila principal"
"TID_ACHIEVEMENTS_VILLAGE2","Conquistas da base do construtor"
"TID_ACHIEVEMENTS_VILLAGE3","Capital do clã"
"TID_ACHIEVEMENT_ACCOUNT_BOUND","Vincule sua conta a uma rede social por segurança."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","Concluído!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","Vincule ao Game Center."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","Sua vila está segura."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","Vincule ao WeChat ou QQ."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","Vincule seu jogo ao WeChat, QQ ou Game Center."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","Mantenha a sua vila segura"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP","Melhore uma supertropa <number> vezes."
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED","Supertropas melhoradas: <value>"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE","Supermelhoria"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Nível atual do Castelo do Clã: <value>."
"TID_ACHIEVEMENT_CASTLE_REPAIR","Reconstrua o Castelo do Clã."
"TID_ACHIEVEMENT_CASTLE_TITLE","Construtor de império"
"TID_ACHIEVEMENT_CASTLE_UPGRADE","Melhore o Castelo do Clã para o nível <number>."
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Desafiar amigos"
"TID_ACHIEVEMENT_CLAIM_BUTTON","Recompensa"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS","Ganhe <number> pontos nos Jogos do Clãs."
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED","Total de pontos em Jogos do Clã: <value>."
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE","Campeão dos Jogos"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II","Campeão dos Jogos II"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III","Campeão dos Jogos III"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES","Remova <number> obstáculos (árvores, pedras, arbustos)."
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Total de obstáculos removidos: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","Limpo e arrumado"
"TID_ACHIEVEMENT_COMPLETED","Conquista concluída!"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Destrua <number> artilharias águia em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Total de Artilharias Águias destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Antiartilharia"
"TID_ACHIEVEMENT_DESTROY_BUILDER","Destrua <number> cabanas do construtor em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Total de cabanas do construtor destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","Detonador de sindicatos"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Destrua <number> Torres Inferno em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Total de Torres Inferno destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Bombeiro"
"TID_ACHIEVEMENT_DESTROY_MONOLITH","Destrua <number> Monólitos em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED","Monólitos destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE","Esmagador de Monólito"
"TID_ACHIEVEMENT_DESTROY_MORTARS","Destrua <number> morteiros em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Total de morteiros destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","Espanca-morteiro"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT","Destrua <number> Disseminadores em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED","Disseminadores destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE","Estilhaçado e espalhado"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER","Destrua <number> Torres de Feitiço em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED","Torres de Feitiço destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE","Contrafeitiço"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL","Destrua <number> Centros da Vila em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2","Destrua <number> casas do construtor em batalhas táticas."
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED","Total de casas do construtor destruídas: <value>."
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE","Desconstrução"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Total de Centros da Vila destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","Humilhador"
"TID_ACHIEVEMENT_DESTROY_WALLS","Destrua <number> muros em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Total de muros destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","Detonador de muros"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS","Destrua <number> cabanas do construtor com defesas ativas em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED","Cabanas do construtor armadas destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE","Cabanas ao ar"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH","Destrua <number> centros da vila com defesas ativas em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED","Centros da vila armados destruídos: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE","Nada de moleza"
"TID_ACHIEVEMENT_DESTROY_XBOW","Destrua <number> X-Bestas em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Total de X-Bestas destruídas: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Destrua uma X-Besta em uma batalha multijogador."
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","Exterminador de X-Bestas"
"TID_ACHIEVEMENT_DONATE_CAPITAL","Use <number> unidades de ouro da capital para fazer melhorias na capital do clã."
"TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED","Ouro da capital doado: <value>"
"TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE","Generosidade capital"
"TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED","Máquinas de cerco doadas: <value>"
"TID_ACHIEVEMENT_DONATE_SIEGES","Doe <number> máquinas de cerco."
"TID_ACHIEVEMENT_DONATE_SIEGES_TITLE","Abrindo o cerco"
"TID_ACHIEVEMENT_DONATE_UNITS","Doe <number> vezes a capacidade do Castelo do Clã em reforços."
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Total de unidades doadas: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","Amigo em apuros"
"TID_ACHIEVEMENT_DRAGON_SLAYER","Acabe com o Dragão Gigante no modo campanha."
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","Exterminador de dragão"
"TID_ACHIEVEMENT_GEAR_UP","Aprimore <number> construções com o mestre construtor."
"TID_ACHIEVEMENT_GEAR_UP_COMPLETED","Total de construções aprimoradas: <value>."
"TID_ACHIEVEMENT_GEAR_UP_ONE","Aprimore uma construção com o mestre construtor."
"TID_ACHIEVEMENT_GEAR_UP_TITLE","Um primor"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Nível do melhor depósito de ouro: <value>"
"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","Cofres maiores"
"TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","Melhore um depósito de ouro para o nível <number>."
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Entre na Liga de Cristal."
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Chegue à Liga de Mestres."
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Torne-se um Campeão!"
"TID_ACHIEVEMENT_LEAGUE_TITLE","Melhor da liga"
"TID_ACHIEVEMENT_LOOT_CAPITAL","Consiga <number> unidades de ouro da capital em raides."
"TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED","Ouro da capital saqueado: <value>"
"TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE","Capitalismo selvagem"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","Saqueie <number> unidades de elixir negro."
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Total de elixir negro saqueado: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","Assalto heroico"
"TID_ACHIEVEMENT_LOOT_ELIXIR","Saqueie <number> unidades de elixir."
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Total de elixir saqueado: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","Ladrão de elixir"
"TID_ACHIEVEMENT_LOOT_GOLD","Saqueie <number> unidades de ouro."
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Total de ouro saqueado: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","Corrida do ouro"
"TID_ACHIEVEMENT_NPC_STARS","Ganhe <number> estrelas no mapa do modo campanha."
"TID_ACHIEVEMENT_NPC_STARS3_TITLE","Acabe com mais Goblins!"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Estrelas no modo campanha: <value>"
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","Para cima daqueles Goblins!"
"TID_ACHIEVEMENT_NPC_STARS_TITLE","Pegue esses Goblins!"
"TID_ACHIEVEMENT_PEKKA_SLAYER","Derrote a M.A.M.Ã.E no modo campanha."
"TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE","Filho ingrato"
"TID_ACHIEVEMENT_PVP_ATTACKS","Vença <number> batalhas multijogador."
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Total de batalhas multijogador vencidas: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","Conquistador"
"TID_ACHIEVEMENT_PVP_DEFENSES","Defenda-se de <number> ataques."
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Total de defesas vencidas: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","Indestrutível"
"TID_ACHIEVEMENT_REPAIR_BUILDING","Reconstrua <name>."
"TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE","Tesouros escondidos"
"TID_ACHIEVEMENT_REWARD_CLAIMED","Conquista concluída! Você recebeu <number> gemas."
"TID_ACHIEVEMENT_SCID_BOUND_TITLE","Conecte sua conta ao Supercell ID para manter seu progresso seguro."
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS","Ganhe <number> pontos nos desafios da temporada."
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED","Total de pontos nos desafios da temporada: <value>"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","Lutador experiente"
"TID_ACHIEVEMENT_SPELL_DONATION","Doe em feitiços o equivalente a <number>x o espaço de armazenamento de feitiços."
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Total de feitiços doados: <value>"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Compartilhar é cuidar"
"TID_ACHIEVEMENT_TOWN_HALL","Melhore o Centro da Vila para o nível <number>."
"TID_ACHIEVEMENT_TOWN_HALL2","Melhore a casa do construtor para o nível <number>."
"TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED","Casa do construtor atual de nível: <value>."
"TID_ACHIEVEMENT_TOWN_HALL2_TITLE","Engenharia primorosa"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Nível atual do Centro da Vila: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_TITLE","Maior e melhor"
"TID_ACHIEVEMENT_UNIT_UNLOCK","Desbloqueie <name> no quartel."
"TID_ACHIEVEMENT_UNIT_UNLOCK2","Desbloqueie <name> no quartel do construtor."
"TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE","Modelo da próxima geração"
"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","Solte as feras"
"TID_ACHIEVEMENT_VICTORY_POINTS","Conquiste <number> troféus em batalhas multijogador."
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Recorde de troféus: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","Doce vitória!"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES","Conquiste <number> troféus em batalhas táticas."
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED","Recorde de troféus em batalhas táticas: <value>."
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE","Campeão Construtor"
"TID_ACHIEVEMENT_WAR_LOOT","Colete <number> de ouro da Torre do Tesouro."
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Total de ouro coletado em bônus de Guerra de Clãs: <value>"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Tesoureiro"
"TID_ACHIEVEMENT_WAR_STARS","Ganhe <number> estrelas para seu clã em batalhas das Guerras de Clãs."
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Estrelas do clã em batalhas das Guerras de Clãs: <value>."
"TID_ACHIEVEMENT_WAR_STARS_TITLE","Herói de guerra"
"TID_ACHIEVEMENT_WL_STARS","Ganhe <number> estrelas para seu clã em batalhas da Liga de Guerra."
"TID_ACHIEVEMENT_WL_STARS_COMPLETED","Estrelas do clã em batalhas da Liga de Guerra: <value>."
"TID_ACHIEVEMENT_WL_STARS_TITLE","Lenda da Liga de Guerra"
"TID_ACTIVE_ABILITY","Habilidade ativa"
"TID_ADDITIONAL_DAMAGE_PER_TARGET_HP","Dano extra: <number>%"
"TID_ADD_FRIENDS_INFO","Os amigos do Game Center aparecem quando você se conecta ao serviço."
"TID_ADD_FRIENDS_INFO_ANDROID","Em breve, amigos do Google Play!"
"TID_ADD_FRIENDS_INFO_CLASH","Adicione jogadores como amigos do Clash para iniciar desafios amistosos e segui-los no Clash of Clans!"
"TID_ADD_FRIENDS_INFO_REQUESTS","Adicione amigos no Clash a partir do perfil deles. Amigos do Game Center e do Supercell ID aparecem automaticamente ao se conectar."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Adicione amigos no Clash a partir do perfil deles. Amigos do Supercell ID aparecem automaticamente ao se conectar."
"TID_ADD_FRIENDS_INFO_REQUESTS_KUNLUN","Adicione amigos de Clash of Clans pelos perfis dos jogadores."
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Adicione amigos do Clash a partir do perfil deles. Amigos do WeChat ou QQ aparecem automaticamente ao se conectar."
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","Adicione amigos por meio do perfil do jogador."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","O jogador que você tentou adicionar não existe."
"TID_ADD_FRIEND_ERROR_GENERIC","Não foi possível enviar pedido de amizade. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Não é possível adicionar a si mesmo como amigo!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Seu amigo tem muitos amigos. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Você tem amigos demais. Remova alguns se quiser adicionar outros."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Seu amigo tem muitos pedidos pendentes. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Você já enviou muitos pedidos de amizade. Remova um e tente de novo."
"TID_ADVANCED_MEGA_TRAP","Megamina"
"TID_ADVANCED_MEGA_TRAP_INFO","Uma dose massiva de destruição escondida. Escolha aérea ou terrestre."
"TID_ADVANCED_SEARCH_BUTTON_LESS","Ocultar opções avançadas"
"TID_ADVANCED_SEARCH_BUTTON_MORE","Opções avançadas"
"TID_ADVANCED_SETTINGS","Mais configurações"
"TID_ADVANCED_SETTINGS_BUTTON","Mostrar"
"TID_ADVANCED_TRAP","Mina"
"TID_ADVANCED_TRAP_INFO","Planeje uma surpresinha explosiva para as tropas que ousarem chegar muito perto. Escolha aérea ou terrestre."
"TID_AD_SEEKER","Lava Hound"
"TID_AD_SEEKER_FRAG","Lava Pup"
"TID_AGE_GATE_ERROR_PROMPT","Insira sua idade para continuar."
"TID_AGE_GATE_TITLE","Qual é a sua idade?"
"TID_AIR_BLASTER","Dispersor Aéreo"
"TID_AIR_BLASTER_INFO","Dispersores aéreos controlam o céu com rajadas de ar potentes que afugentam inimigos voadores. Só podem ser direcionados para um lado de cada vez, então gire-os para maximizar a eficácia."
"TID_AIR_DEFENSE2_INFO","Se você quer uma defesa aérea peso-pesado, conte com as bombas aéreas. Barris explosivos lentos, mas mortais, são lançados ao céu para causar danos de peso a vários inimigos aéreos ao mesmo tempo."
"TID_AIR_DEFENSE_INFO","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos terrestres. Posicione-a sabiamente para cobrir o maior espaço aéreo possível."
"TID_AIR_DEFENSE_SMALL_INFO","Afaste as pestes com esses foguetinhos. É como uma raquete de mosquito, só que com mais charme."
"TID_ALLIANCE_ACCEPTED_BY","Aceito por <name>."
"TID_ALLIANCE_BADGE_BROWSE","Procurar"
"TID_ALLIANCE_BUTTON_EDIT","Editar"
"TID_ALLIANCE_BUTTON_LEAVE","Sair"
"TID_ALLIANCE_BUTTON_SEARCH","Buscar"
"TID_ALLIANCE_CASTLE_INFO","O Castelo do Clã abriga a sua Torre do Tesouro e as tropas e feitiços enviados pelos seus colegas de clã."
"TID_ALLIANCE_CREATE_ARRANGED_WARS","Guerras amistosas"
"TID_ALLIANCE_CREATE_BADGE","Emblema:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Descrição:"
"TID_ALLIANCE_CREATE_NAME","Nome do clã:"
"TID_ALLIANCE_CREATE_OK","Você fundou um novo clã!"
"TID_ALLIANCE_CREATE_SHOW_LOG","Registro de guerra público"
"TID_ALLIANCE_CREATE_TH_LEVEL","Nível mínimo de centro da vila:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Mín. de troféus:"
"TID_ALLIANCE_CREATE_TYPE","Tipo de clã:"
"TID_ALLIANCE_DATA_FAILED_DELETED","Este clã não pôde ser carregado porque foi excluído."
"TID_ALLIANCE_DATA_FAILED_GENERIC","Impossível carregar informações do clã.\n\nTente novamente mais tarde."
"TID_ALLIANCE_DATA_FAILED_LOAD_FAILED","Impossível carregar informações do clã.\n\nTente novamente mais tarde."
"TID_ALLIANCE_DATA_FAILED_NOT_FOUND","O clã não pôde ser encontrado."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Quero entrar no seu clã."
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","Atenção, membros do clã:"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","Preciso de reforços!"
"TID_ALLIANCE_DEMOTE_BUTTON","Rebaixar a <role>"
"TID_ALLIANCE_DONATE_BUTTON_QUICK","Doação rápida"
"TID_ALLIANCE_DONATE_BUTTON_RETURN","Voltar"
"TID_ALLIANCE_DONATE_DONATED","Tropas e feitiços doados:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Tropas doadas:"
"TID_ALLIANCE_DONATE_DONATE_INSTANTLY","Doar instantaneamente:"
"TID_ALLIANCE_DONATE_HEADER","Doar reforços"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Doar feitiços:"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Doar tropas:"
"TID_ALLIANCE_EXP_EARNED","+<value> XP do clã"
"TID_ALLIANCE_GAMES_ABANDON_TASK","Eliminar"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_HEADER","O que são os desafios?"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_INFO","Complete desafios para ganhar pontos para o seu clã.\nCada membro do clã tem que cumprir uma cota. Participe e garanta as melhores recompensas para você e seu clã.\nEscolha um desafio que sabe que conseguirá completar a tempo!"
"TID_ALLIANCE_GAMES_ALLIANCE_MISMATCH","Volte para <alliance> para participar dos Jogos do Clã agora ou aguarde a próxima edição."
"TID_ALLIANCE_GAMES_CHECKING_RESULTS","Verificando resultados..."
"TID_ALLIANCE_GAMES_CLAIM_REWARDS_BUTTON","Coletar recompensas"
"TID_ALLIANCE_GAMES_CLAN_TAB","Clã"
"TID_ALLIANCE_GAMES_COMPLETED_TASK","Concluído"
"TID_ALLIANCE_GAMES_COMPLETE_TASK","Entregar"
"TID_ALLIANCE_GAMES_ENDING_IN","Tempo restante:"
"TID_ALLIANCE_GAMES_EXPIRED_TASK","Tempo esgotado"
"TID_ALLIANCE_GAMES_NO_ALLIANCE","É preciso fazer parte de um clã para participar dos Jogos do Clã."
"TID_ALLIANCE_GAMES_NO_REWARDS_EARNED","Seu clã não ganhou pontos suficientes para desbloquear recompensas."
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_HEADER","Tempo de espera"
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_TEXT","Preparando o próximo desafio..."
"TID_ALLIANCE_GAMES_PERSONAL_PROGRESS","Sua pontuação:"
"TID_ALLIANCE_GAMES_PICK_TASK_HEADER","Escolha um desafio"
"TID_ALLIANCE_GAMES_PICK_TASK_INFO","Escolha um desafio a partir das opções à esquerda e mãos à obra!"
"TID_ALLIANCE_GAMES_RESHUFFLE_BUTTON","Reembaralhar"
"TID_ALLIANCE_GAMES_REVIVE_TASK","+ tempo"
"TID_ALLIANCE_GAMES_REWARDS_AFTER_END","Escolha uma recompensa de cada nível desbloqueado quando os jogos acabarem."
"TID_ALLIANCE_GAMES_REWARDS_NO_POINTS","É preciso ter recebido pontos por um desafio para ter direito às recompensas."
"TID_ALLIANCE_GAMES_REWARDS_TAB","Recompensas"
"TID_ALLIANCE_GAMES_STARTING_IN","Os Jogos do Clã começam em:"
"TID_ALLIANCE_GAMES_START_TASK","Iniciar"
"TID_ALLIANCE_GAMES_TASKS","Desafios:"
"TID_ALLIANCE_GAMES_TASK_TAB","Desafios"
"TID_ALLIANCE_GAMES_THANKS_FOR_PLAYING","Os Jogos do Clã acabaram. Valeu, e até a próxima!"
"TID_ALLIANCE_GAMES_TOWN_HALL_TOO_LOW","O seu Centro da Vila precisa estar no nível <number> para participar dos Jogos do Clã."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","O jogador já está em um clã!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Você já convidou o jogador!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","Impossível convidar: a caixa de entrada do jogador está cheia!"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Impossível convidar: o jogador não tem um Castelo do Clã!"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Somente anciões e líderes podem convidar novos membros."
