"TID","EN"
"TID_ACHIEVEMENT_DESTROY_MORTARS","Destroy <number> Mortars in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Total Mortars destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","Mortar Mauler"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT","Destroy <number> Scattershots in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED","Total Scattershots destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE","Shattered and Scattered"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER","Destroy <number> Spell Towers in Multiplayer Battles"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED","Total Spell Towers Destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE","Counterspell"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL","Destroy <number> Town Halls in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2","Destroy <number> Builder Halls in Builder Battles"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED","Total Builder Halls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE","Un-Build It"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Total Town Halls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","Humiliator"
"TID_ACHIEVEMENT_DESTROY_WALLS","Destroy <number> Walls in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Total Walls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","Wall Buster"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS","Destroy <number> weaponized Builder's Huts in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED","Total weaponized Builder's Huts destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE","Bust This!"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH","Destroy <number> weaponized Town Halls in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED","Weaponized Town Halls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE","Not So Easy This Time"
"TID_ACHIEVEMENT_DESTROY_XBOW","Destroy <number> X-Bows in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Total X-Bows destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Destroy one X-Bow in a Multiplayer battle"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","X-Bow Exterminator"
"TID_ACHIEVEMENT_DONATE_CAPITAL","Contribute <number> Capital Gold to upgrades in the Clan Capital"
"TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED","Total Capital Gold contributed: <value>"
"TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE","Most Valuable Clanmate"
"TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED","Total Siege Machines donated: <value>"
"TID_ACHIEVEMENT_DONATE_SIEGES","Donate <number> Siege Machines"
"TID_ACHIEVEMENT_DONATE_SIEGES_TITLE","Siege Sharer"
"TID_ACHIEVEMENT_DONATE_UNITS","Donate <number> capacity worth of reinforcements to Clanmates"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Total capacity donated: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","Friend in Need"
"TID_ACHIEVEMENT_DRAGON_SLAYER","Slay the Giant Dragon on the Campaign Map"
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","Dragon Slayer"
"TID_ACHIEVEMENT_GEAR_UP","Gear Up <number> buildings using the Master Builder"
"TID_ACHIEVEMENT_GEAR_UP_COMPLETED","Total buildings geared up: <value>"
"TID_ACHIEVEMENT_GEAR_UP_ONE","Gear Up one building using the Master Builder"
"TID_ACHIEVEMENT_GEAR_UP_TITLE","High Gear"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Highest Gold Storage level: <value>"
"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","Bigger Coffers"
"TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","Upgrade a Gold Storage to level <number>"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Join the Crystal League"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Reach the Masters League"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Become a Champion!"
"TID_ACHIEVEMENT_LEAGUE_TITLE","League All-Star"
"TID_ACHIEVEMENT_LOOT_CAPITAL","Loot <number> Capital Gold during Raid attacks"
"TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED","Total Capital Gold looted: <value>"
"TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE","Aggressive Capitalism"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","Steal <number> Dark Elixir"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Total Dark Elixir looted: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","Heroic Heist"
"TID_ACHIEVEMENT_LOOT_ELIXIR","Steal <number> elixir"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Total Elixir looted: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","Elixir Escapade"
"TID_ACHIEVEMENT_LOOT_GOLD","Steal <number> Gold"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Total Gold looted: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","Gold Grab"
"TID_ACHIEVEMENT_NPC_STARS","Win <number> Stars on the Campaign Map"
"TID_ACHIEVEMENT_NPC_STARS3_TITLE","Get even more Goblins!"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Stars in Campaign Map: <value>"
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","Get those other Goblins!"
"TID_ACHIEVEMENT_NPC_STARS_TITLE","Get those Goblins!"
"TID_ACHIEVEMENT_PEKKA_SLAYER","Defeat M.O.M.M.A on the Campaign Map"
"TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE","Ungrateful Child"
"TID_ACHIEVEMENT_PVP_ATTACKS","Win <number> Multiplayer battles"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Total multiplayer battles won: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","Conqueror"
"TID_ACHIEVEMENT_PVP_DEFENSES","Successfully defend against <number> attacks"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Total defenses won: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","Unbreakable"
"TID_ACHIEVEMENT_REPAIR_BUILDING","Rebuild <name>"
"TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE","Hidden Treasures"
"TID_ACHIEVEMENT_REWARD_CLAIMED","Achievement completed! You received <number> gems."
"TID_ACHIEVEMENT_SCID_BOUND_TITLE","Connect your account to Supercell ID for safe keeping."
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS","Earn <number> points in Season Challenges"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED","Total Season Challenges points: <value>"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","Well Seasoned"
"TID_ACHIEVEMENT_SPELL_DONATION","Donate <number> Spell storage capacity worth of Spells"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Total Spell capacity donated: <value>"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Sharing is caring"
"TID_ACHIEVEMENT_TOWN_HALL","Upgrade Town Hall to level <number>"
"TID_ACHIEVEMENT_TOWN_HALL2","Upgrade Builder Hall to level <number>"
"TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED","Current Builder Hall level: <value>"
"TID_ACHIEVEMENT_TOWN_HALL2_TITLE","Master Engineering"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Current Town Hall level: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_TITLE","Bigger & Better"
"TID_ACHIEVEMENT_UNIT_UNLOCK","Unlock <name> in the Barracks"
"TID_ACHIEVEMENT_UNIT_UNLOCK2","Unlock <name> in the Builder Barracks"
"TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE","Next Generation Model"
"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","Discover New Troops"
"TID_ACHIEVEMENT_VICTORY_POINTS","Achieve a total of <number> trophies in Multiplayer battles"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Trophy record: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","Sweet Victory!"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES","Achieve a total of <number> trophies in Builder Battles"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED","Builder Trophy record: <value>"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE","Champion Builder"
"TID_ACHIEVEMENT_WAR_LOOT","Collect <number> Gold from the Clan Castle"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Total Gold collected in Clan War bonuses: <value>"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Clan War Wealth"
"TID_ACHIEVEMENT_WAR_STARS","Score <number> Stars for your clan in Clan War battles"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Total Stars scored for clan in Clan War battles: <value>"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","War Hero"
"TID_ACHIEVEMENT_WL_STARS","Score <number> Stars for your clan in War League battles"
"TID_ACHIEVEMENT_WL_STARS_COMPLETED","Total Stars scored for clan in War League battles: <value>"
"TID_ACHIEVEMENT_WL_STARS_TITLE","War League Legend"
"TID_ACTIVE_ABILITY","Active Ability"
"TID_ADDITIONAL_DAMAGE_PER_TARGET_HP","Extra damage: <number>%"
"TID_ADD_FRIENDS_INFO","Game Center friends appear when you're logged into Game Center"
"TID_ADD_FRIENDS_INFO_ANDROID","Google Play friends coming soon!"
"TID_ADD_FRIENDS_INFO_CLASH","Add players as Clash Friends to start Friendly Challenges and follow them in Clash of Clans!"
"TID_ADD_FRIENDS_INFO_REQUESTS","Add Clash Friends from their player profile. Game Center and Supercell ID friends automatically appear once you've logged in."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Add Clash Friends from their player profile. Supercell ID friends automatically appear once you've logged in."
"TID_ADD_FRIENDS_INFO_REQUESTS_KUNLUN","Add Clash Friends from their player profile."
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Add Clash Friends from their player profile. WeChat or QQ friends automatically appear once you've logged in."
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","Add Clash Friends from their player profile."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","The player you tried to add doesn't exist."
"TID_ADD_FRIEND_ERROR_GENERIC","Could not send Friend Invite. Please try again later."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Can't invite yourself as friend!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Your friend has too many friends. Please try again later."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","You have too many friends. Remove one if you want to add new ones."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Your friend has too many requests pending. Please try again later."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","You have sent too many friend requests. Remove one and try again."
"TID_ADVANCED_MEGA_TRAP","Mega Mine"
"TID_ADVANCED_MEGA_TRAP_INFO","A hidden dose of heavy destruction. Choose air or ground!"
"TID_ADVANCED_SEARCH_BUTTON_LESS","Hide Advanced Options"
"TID_ADVANCED_SEARCH_BUTTON_MORE","Advanced Options"
"TID_ADVANCED_SETTINGS","More Settings"
"TID_ADVANCED_SETTINGS_BUTTON","Show"
"TID_ADVANCED_TRAP","Mine"
"TID_ADVANCED_TRAP_INFO","Plan an explosive surprise for troops that get too close. Choose air or ground!"
"TID_AD_SEEKER","Lava Hound"
"TID_AD_SEEKER_FRAG","Lava Pup"
"TID_AGE_GATE_ERROR_PROMPT","Please enter your age to continue."
"TID_AGE_GATE_TITLE","What's Your Age?"
"TID_AIR_BLASTER","Air Sweeper"
"TID_AIR_BLASTER_INFO","Air Sweepers control the sky with strong blasts of air that push back flying enemies. Air Sweepers can only face one direction, so rotate them to maximize their effectiveness."
"TID_AIR_DEFENSE2_INFO","For heavyweight air defense, Air Bombs do the trick. An endless supply of explosive barrels launch into the sky to ravage flying enemies!"
"TID_AIR_DEFENSE_INFO","This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible."
"TID_AIR_DEFENSE_SMALL_INFO","Keep flying pests away with flurries of small rockets! It's like a bug zapper, but prettier."
"TID_ALLIANCE_ACCEPTED_BY","Accepted by <name>"
"TID_ALLIANCE_BADGE_BROWSE","Browse"
"TID_ALLIANCE_BUTTON_EDIT","Edit"
"TID_ALLIANCE_BUTTON_LEAVE","Leave"
"TID_ALLIANCE_BUTTON_SEARCH","Search"
"TID_ALLIANCE_CASTLE_INFO","The Clan Castle houses your Treasury and any reinforcement troops or Spells sent by your clanmates."
"TID_ALLIANCE_CREATE_ARRANGED_WARS","Friendly Wars"
"TID_ALLIANCE_CREATE_BADGE","Badge:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Description:"
"TID_ALLIANCE_CREATE_NAME","Clan Name:"
"TID_ALLIANCE_CREATE_OK","You have successfully founded a new clan!"
"TID_ALLIANCE_CREATE_SHOW_LOG","Public War Log"
"TID_ALLIANCE_CREATE_TH_LEVEL","Minimum Town Hall level:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Minimum trophies to join:"
"TID_ALLIANCE_CREATE_TYPE","Clan Type:"
"TID_ALLIANCE_DATA_FAILED_DELETED","This Clan has been deleted and could not be loaded."
"TID_ALLIANCE_DATA_FAILED_GENERIC","Could not load Clan info.\n\nPlease try again later."
"TID_ALLIANCE_DATA_FAILED_LOAD_FAILED","Could not load Clan info.\n\nPlease try again later."
"TID_ALLIANCE_DATA_FAILED_NOT_FOUND","Clan could not be found."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","I'd like to join your clan"
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","Attention clanmates:"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","I need reinforcements"
"TID_ALLIANCE_DEMOTE_BUTTON","Demote to <role>"
"TID_ALLIANCE_DONATE_BUTTON_QUICK","Quick Donate"
"TID_ALLIANCE_DONATE_BUTTON_RETURN","Go Back"
"TID_ALLIANCE_DONATE_DONATED","Donated Troops and Spells:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Donated Troops:"
"TID_ALLIANCE_DONATE_DONATE_INSTANTLY","Donate instantly:"
"TID_ALLIANCE_DONATE_HEADER","Donate Reinforcements"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Donate Spells:"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Donate Troops:"
"TID_ALLIANCE_EXP_EARNED","+<value> Clan XP"
"TID_ALLIANCE_GAMES_ABANDON_TASK","Trash"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_HEADER","What are Challenges?"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_INFO","Earn points for your Clan by completing Challenges.\nEach Clan member has a quota to fulfill. Be active and ensure the best rewards for you and your Clan.\nBe sure to pick a Challenge that you can complete in time!"
"TID_ALLIANCE_GAMES_ALLIANCE_MISMATCH","You need to rejoin <alliance> to keep playing Clan Games now, or wait until the next Clan Games start."
"TID_ALLIANCE_GAMES_CHECKING_RESULTS","Checking Results..."
"TID_ALLIANCE_GAMES_CLAIM_REWARDS_BUTTON","Collect Rewards"
"TID_ALLIANCE_GAMES_CLAN_TAB","Clan"
"TID_ALLIANCE_GAMES_COMPLETED_TASK","Finished"
"TID_ALLIANCE_GAMES_COMPLETE_TASK","Turn In"
"TID_ALLIANCE_GAMES_ENDING_IN","Time Remaining:"
"TID_ALLIANCE_GAMES_EXPIRED_TASK","Out of Time"
"TID_ALLIANCE_GAMES_NO_ALLIANCE","You need to join a Clan to start playing Clan Games."
"TID_ALLIANCE_GAMES_NO_REWARDS_EARNED","Your clan didn´t earn enough points to unlock any rewards."
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_HEADER","Challenge Cooldown"
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_TEXT","Tidying up in preparation for the next Challenge..."
"TID_ALLIANCE_GAMES_PERSONAL_PROGRESS","Your Score:"
"TID_ALLIANCE_GAMES_PICK_TASK_HEADER","Pick a Challenge"
"TID_ALLIANCE_GAMES_PICK_TASK_INFO","Choose a Challenge from the selection on the left and start working on it!"
"TID_ALLIANCE_GAMES_RESHUFFLE_BUTTON","Reshuffle"
"TID_ALLIANCE_GAMES_REVIVE_TASK","Add Time"
"TID_ALLIANCE_GAMES_REWARDS_AFTER_END","When the games end you will be able to choose one reward from each unlocked tier."
"TID_ALLIANCE_GAMES_REWARDS_NO_POINTS","You need to have earned some points from a Challenge in order to be able to claim rewards."
"TID_ALLIANCE_GAMES_REWARDS_TAB","Rewards"
"TID_ALLIANCE_GAMES_STARTING_IN","Clan Games Start In:"
"TID_ALLIANCE_GAMES_START_TASK","Start"
"TID_ALLIANCE_GAMES_TASKS","Challenges:"
"TID_ALLIANCE_GAMES_TASK_TAB","Challenges"
"TID_ALLIANCE_GAMES_THANKS_FOR_PLAYING","Clan Games have finished. Thanks and see you next time!"
"TID_ALLIANCE_GAMES_TOWN_HALL_TOO_LOW","You need to reach Town Hall <number> to start playing Clan Games."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Player has already joined a clan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","You have already invited that player!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","Can't invite, player's inbox is full!"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Can't invite, player does not have a Clan Castle!"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Only Elders and Leader can invite new members"
"TID_ALLIANCE_INVITATION_FAILED_USER_BANNED","Can't invite, player has been banned from your clan!"
"TID_ALLIANCE_INVITATION_OK","Invite sent successfully."
"TID_ALLIANCE_JOIN_BUTTON","Join"
"TID_ALLIANCE_JOIN_CLAN","Join or create a Clan and get stronger.\n\nClanmates help each other and can send reinforcement Troops and Spells."
"TID_ALLIANCE_JOIN_ERROR_NOT_FAMILY_FRIENDLY","This Clan is restricted to certain account types. You will need to find a different Clan to join."
"TID_ALLIANCE_JOIN_OK","You are now a member of clan <name>!"
"TID_ALLIANCE_LEADERBOARDS","Top Clans"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Do you really want to leave?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Leave Clan?"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_ALLIANCE_MAIL_FAIL_COOLDOWN","You need to wait before sending mail again"
"TID_ALLIANCE_MAIL_NOTIFICATION","You have a new clan mail!"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_PROMOTE_BUTTON","Promote to <role>"
"TID_ALLIANCE_RAID_ATTACK_FAILED_ALL_ATTACKS_USED","All attacks used in the Raid Weekend"
"TID_ALLIANCE_RAID_FAILED_NOT_IN_RAID","Can´t attack! Not in raid."
"TID_ALLIANCE_RAID_FAILED_RAID_IS_ENDING","Can´t attack! The Raid Weekend is ending"
"TID_ALLIANCE_REJECTED_BY","Rejected by <name>"
"TID_ALLIANCE_REJECT_DEFAULT_MESSAGE","Sorry, we decided not to let you into the clan."
"TID_ALLIANCE_REJECT_MESSAGE_TITLE","Reject: <name>"
"TID_ALLIANCE_REPORT_TEXT","Are you sure you want to report clan <name> name or description as inappropriate?"
"TID_ALLIANCE_REQUEST_ACCEPTED","Welcome to our clan!"
"TID_ALLIANCE_REQUEST_DECLINED","Clan request declined!"
"TID_ALLIANCE_REQUEST_SENT","The request was sent!"
"TID_ALLIANCE_ROLE_ADMIN","Elder"
"TID_ALLIANCE_ROLE_COLEADER","Co-leader"
"TID_ALLIANCE_ROLE_LEADER","Leader"
"TID_ALLIANCE_ROLE_MEMBER","Member"
