"TID","NL"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Dit account is verwijderd overeenkomstig een verwijderingsverzoek en kan niet meer worden hersteld."
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Volgend op je verzoek wordt je account binnenkort verwijderd."
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","Je hebt gevraagd om dit account te laten verwijderen. Je hebt nog <time> om de verwijdering te annuleren."
"TID_ACCOUNT_DELETION_WARNING_TEXT","Overeenkomstig je verzoek wordt je account verwijderd over <time>. Als je van gedachten bent veranderd, neem dan contact op met Hulp en ondersteuning om je verwijderingsverzoek te annuleren."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Waarschuwing wegens verwijderen account"
"TID_ACCOUNT_DISABLED_TEXT","Account verwijderd"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Ongeldige ontgrendelcode!"
"TID_ACCOUNT_LOCKED_TEXT2","Voer hier de ontgrendelcode in:"
"TID_ACCOUNT_LOCKED_TITLE","Account vergrendeld"
"TID_ACCOUNT_SWITCHING_NOT_SUPPORTED","Je bent aangemeld met de Game Center-account van Chief <name>s dorp.\n\nDit dorp is beschikbaar om te spelen, maar wisselen naar dit account wordt niet ondersteund voor een iOS-versie lager dan iOS 7. Update je iOS-versie om te wisselen naar dit account.\n\nMeer informatie over iOS-updates:\nhttp://support.apple.com/nl-nl/HT4623"
"TID_ACHIEVEMENTS_COMPLETED","Voltooid:"
"TID_ACHIEVEMENTS_INFO","Prestaties ook in Game Center"
"TID_ACHIEVEMENTS_INFO_ANDROID","Prestaties ook in Google Play"
"TID_ACHIEVEMENTS_PROGRESS","Voortgang"
"TID_ACHIEVEMENTS_REWARD","Beloningen:"
"TID_ACHIEVEMENTS_VILLAGE1","Thuisdorpprestaties"
"TID_ACHIEVEMENTS_VILLAGE2","Bouwersbasisprestaties"
"TID_ACHIEVEMENTS_VILLAGE3","Clanhoofdstad"
"TID_ACHIEVEMENT_ACCOUNT_BOUND","Verbind je account met een sociaal netwerk om het veilig te houden."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","Voltooid!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","Maak verbinding met Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","Je dorp is veilig"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","Maak verbinding met WeChat of QQ"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","Maak verbinding met WeChat, QQ of Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","Houd je dorp veilig"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP","Transformeer <number> keer een troep in een supertroep"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED","Totaal aantal getransformeerde troepen: <value>"
"TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE","Superioriteit"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Huidig level clankasteel: <value>"
"TID_ACHIEVEMENT_CASTLE_REPAIR","Repareer het clankasteel"
"TID_ACHIEVEMENT_CASTLE_TITLE","Rijkbouwer"
"TID_ACHIEVEMENT_CASTLE_UPGRADE","Upgrade het clankasteel naar level <number>"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Vrienden uitdagen"
"TID_ACHIEVEMENT_CLAIM_BUTTON","Opeisen"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS","Verdien <number> punten in de clanspelen"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED","Totaal aantal punten in clanspelen: <value>"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE","Spelkampioen"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II","Spelkampioen II"
"TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III","Spelkampioen III"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES","Verwijder <number> obstakels (bomen, rotsen, struiken)"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Aantal verwijderde obstakels: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","Opgeruimd staat netjes"
"TID_ACHIEVEMENT_COMPLETED","Prestatie voltooid!"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Vernietig <number> adelaarsartillerie in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Totaal vernietigde adelaarsartillerie: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Anti-artillerie"
"TID_ACHIEVEMENT_DESTROY_BUILDER","Vernietig <number> bouwketen in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Aantal vernietigde bouwketen: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","Stakingbreker"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Vernietig <number> infernotorens in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Aantal vernietigde infernotorens: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Brandweerman"
"TID_ACHIEVEMENT_DESTROY_MONOLITH","Vernietig <number> monolieten in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED","Aantal vernietigde monolieten: <value>"
"TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE","Monolietmoller"
"TID_ACHIEVEMENT_DESTROY_MORTARS","Vernietig <number> mortieren in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Aantal vernietigde mortieren: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","Mortiermoller"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT","Vernietig <number> keer een hapsnap in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED","Totaal aantal hapsnappen vernietigd: <value>"
"TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE","Versplinterd en verspreid"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER","Vernietig <number> spreukentorens in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED","Aantal vernietigde spreukentorens: <value>"
"TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE","Tegenspreuk"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL","Vernietig <number> stadhuizen in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2","Vernietig <number> bouwerszalen in bouwersbasisgevechten"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED","Totaal aantal bouwerszalen vernietigd: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE","Breek het af"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Aantal vernietigde stadhuizen: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","Vernederaar"
"TID_ACHIEVEMENT_DESTROY_WALLS","Vernietig <number> muren in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Aantal vernietigde muren: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","Muurknaller"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS","Vernietig <number> bewapende bouwketen in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED","Totaal aantal bewapende bouwketen vernietigd: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE","Sloopwerk"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH","Vernietig <number> bewapende stadhuizen in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED","Totaal aantal bewapende stadhuizen vernietigd: <value>"
"TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE","Tot de tanden gewapend"
"TID_ACHIEVEMENT_DESTROY_XBOW","Vernietig <number> X-bogen in multiplayergevechten"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Aantal vernietigde X-bogen: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Vernietig één X-boog in een multiplayergevecht"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","X-boogvernietiger"
"TID_ACHIEVEMENT_DONATE_CAPITAL","Draag <number> stadsgoud bij aan upgrades in de clanhoofdstad"
"TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED","Totale hoeveelheid bijgedragen stadsgoud: <value>"
"TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE","Meest waardevolle clanlid"
"TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED","Totaal aantal gedoneerde belegeringsmachines: <value>"
"TID_ACHIEVEMENT_DONATE_SIEGES","Doneer <number> belegeringsmachines"
"TID_ACHIEVEMENT_DONATE_SIEGES_TITLE","Barmhartig belegeren"
"TID_ACHIEVEMENT_DONATE_UNITS","Doneer versterkingen met een clankasteelcapaciteit van <number>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Aantal gedoneerde versterkingen: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","Behoeftige vrienden"
"TID_ACHIEVEMENT_DRAGON_SLAYER","Versla de reuzendraak op de campagnekaart"
"TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE","Drakenbeul"
"TID_ACHIEVEMENT_GEAR_UP","Verbeter <number> gebouwen met de meesterbouwer"
"TID_ACHIEVEMENT_GEAR_UP_COMPLETED","Totaal aantal verbeterde gebouwen: <value>"
"TID_ACHIEVEMENT_GEAR_UP_ONE","Verbeter een gebouw met de meesterbouwer"
"TID_ACHIEVEMENT_GEAR_UP_TITLE","Goed, beter, best"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Hoogste level goudkluis: <value>"
"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","Grotere schatkisten"
"TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","Upgrade een goudkluis naar level <number>"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Bereik de kristallen divisie"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Behaal de meestersdivisie"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Word een kampioen!"
"TID_ACHIEVEMENT_LEAGUE_TITLE","All-star divisie"
"TID_ACHIEVEMENT_LOOT_CAPITAL","Maak <number> stadsgoud buit tijdens rooftochtaanvallen"
"TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED","Totale hoeveelheid buitgemaakt stadsgoud: <value>"
"TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE","Agressief kapitalisme"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","Steel <number> eenheden duister-elixir"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Aantal buitgemaakte eenheden duister-elixir: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","Oppermachtige overval"
"TID_ACHIEVEMENT_LOOT_ELIXIR","Steel <number> elixir"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Aantal buitgemaakte eenheden elixir: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","Elixirescapade"
"TID_ACHIEVEMENT_LOOT_GOLD","Steel <number> goud"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Aantal buitgemaakte eenheden goud: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","Goudgraai"
"TID_ACHIEVEMENT_NPC_STARS","Win <number> sterren op de campagnekaart"
"TID_ACHIEVEMENT_NPC_STARS3_TITLE","Krijg nog meer kobolden!"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Sterren op de campagnekaart: <value>"
"TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE","Grijp de andere kobolden!"
"TID_ACHIEVEMENT_NPC_STARS_TITLE","Pak die kobolden!"
"TID_ACHIEVEMENT_PEKKA_SLAYER","Versla M.A.M.A. op de campagnekaart"
"TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE","Ondankbaar kind"
"TID_ACHIEVEMENT_PVP_ATTACKS","Win <number> multiplayergevechten"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Aantal gewonnen multiplayergevechten: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","Veroveraar"
"TID_ACHIEVEMENT_PVP_DEFENSES","Verdedig je met succes tegen <number> aanvallen"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Aantal gewonnen verdedigingen: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","Onbreekbaar"
"TID_ACHIEVEMENT_REPAIR_BUILDING","Repareer <name>"
"TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE","Verborgen schatten"
"TID_ACHIEVEMENT_REWARD_CLAIMED","Prestatie voltooid! Je hebt <number> edelstenen ontvangen."
"TID_ACHIEVEMENT_SCID_BOUND_TITLE","Verbind je account met je Supercell ID om het veilig te houden"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS","Verdien <number> punten in seizoensuitdagingen"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED","Totaal aantal punten uit seizoensuitdagingen: <value>"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","Seizoenskampioen"
"TID_ACHIEVEMENT_SPELL_DONATION","Doneer spreuken met een spreukenopslagcapaciteit van <number>"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Totaal gedoneerde spreukencapaciteit: <value>"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Delen is sociaal"
"TID_ACHIEVEMENT_TOWN_HALL","Upgrade het stadhuis naar level <number>"
"TID_ACHIEVEMENT_TOWN_HALL2","Upgrade de bouwerszaal naar level <number>"
"TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED","Huidig level bouwerszaal: <value>"
"TID_ACHIEVEMENT_TOWN_HALL2_TITLE","Meesterlijke bouwtechniek"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Huidige stadhuislevel: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_TITLE","Groter en beter"
"TID_ACHIEVEMENT_UNIT_UNLOCK","Ontgrendel een <name> in de kazerne"
"TID_ACHIEVEMENT_UNIT_UNLOCK2","Ontgrendel een <name> in de bouwerskazerne"
"TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE","De volgende generatie"
"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","Laat de monsters los"
"TID_ACHIEVEMENT_VICTORY_POINTS","Behaal <number> trofeeën in multiplayergevechten"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Record trofeeën: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","Zoete overwinning!"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES","Behaal <number> trofeeën in bouwersbasisgevechten"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED","Record bouwersbasistrofeeën: <value>"
"TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE","Kampioenbouwer"
"TID_ACHIEVEMENT_WAR_LOOT","Verzamel <number> goud uit de schatkamer"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Aantal verzamelde eenheden goud via clanoorlogbonussen: <value>"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Schatbewaarder"
"TID_ACHIEVEMENT_WAR_STARS","Verdien <number> sterren voor je clan in clanoorloggevechten"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Aantal gewonnen sterren voor je clan in clanoorloggevechten: <value>"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","Oorlogsheld"
"TID_ACHIEVEMENT_WL_STARS","Verdien <number> sterren voor je clan in oorlogsdivisiesgevechten"
"TID_ACHIEVEMENT_WL_STARS_COMPLETED","Aantal gewonnen sterren voor je clan in oorlogsdivisiesgevechten: <value>"
"TID_ACHIEVEMENT_WL_STARS_TITLE","Divisieseizoen"
"TID_ACTIVE_ABILITY","Actief talent"
"TID_ADDITIONAL_DAMAGE_PER_TARGET_HP","Extra schade: <number>%"
"TID_ADD_FRIENDS_INFO","Game Center-vrienden verschijnen als je bent aangemeld bij Game Center"
"TID_ADD_FRIENDS_INFO_ANDROID","Google Play-vrienden komt binnenkort!"
"TID_ADD_FRIENDS_INFO_CLASH","Voeg spelers toe als Clash-vrienden om vriendschappelijke uitdagingen te starten en ze te volgen in Clash of Clans!"
"TID_ADD_FRIENDS_INFO_REQUESTS","Voeg Clash-vrienden toe via hun spelersprofiel. Game Center- en Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Voeg Clash-vrienden toe via hun spelersprofiel. Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld."
"TID_ADD_FRIENDS_INFO_REQUESTS_KUNLUN","Voeg Clash-vrienden toe via hun spelersprofiel."
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","Voeg Clash-vrienden toe via hun spelersprofiel. WeChat- of QQ-vrienden worden automatisch weergegeven nadat je je hebt aangemeld."
"TID_ADD_FRIENDS_INFO_REQUESTS_YP","Voeg Clash-vrienden toe via hun spelersprofiel."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","De speler die je probeert toe te voegen, bestaat niet."
"TID_ADD_FRIEND_ERROR_GENERIC","Vriendenverzoek versturen mislukt. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Je kunt jezelf niet uitnodigen als vriend!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Je vriend heeft te veel vrienden. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Je hebt te veel vrienden. Verwijder er een als je een nieuwe wilt toevoegen."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Je vriend heeft te veel verzoeken uitstaan. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Je hebt te veel vriendenverzoeken verzonden. Verwijder er een en probeer het opnieuw."
"TID_ADVANCED_MEGA_TRAP","Mega-mijn"
"TID_ADVANCED_MEGA_TRAP_INFO","Een verborgen dosis ontzagwekkende vernietiging. Kies voor een lucht- of landmijn."
"TID_ADVANCED_SEARCH_BUTTON_LESS","Geavanceerde opties verbergen"
"TID_ADVANCED_SEARCH_BUTTON_MORE","Geavanceerde opties"
"TID_ADVANCED_SETTINGS","Meer instellingen"
"TID_ADVANCED_SETTINGS_BUTTON","Tonen"
"TID_ADVANCED_TRAP","Mijn"
"TID_ADVANCED_TRAP_INFO","Plan een explosieve verrassing voor troepen die te dichtbij komen. Kies voor een lucht- of landmijn."
"TID_AD_SEEKER","Lavahond"
"TID_AD_SEEKER_FRAG","Lavapup"
"TID_AGE_GATE_ERROR_PROMPT","Voer je leeftijd in om door te gaan."
"TID_AGE_GATE_TITLE","Hou oud ben je?"
"TID_AIR_BLASTER","Windmachine"
"TID_AIR_BLASTER_INFO","Windmachines zijn heer en meester in de lucht waar zij met hevige windvlagen vliegende vijanden terugdringen. Windmachines kunnen maar één kant op wijzen, dus draai ze om ze optimaal te gebruiken!"
"TID_AIR_DEFENSE2_INFO","Voor een krachtige luchtafweer zijn luchttonnen je beste keuze. Een eindeloze voorraad explosieve tonnen vliegt door de lucht en rijt vliegende vijanden uiteen."
"TID_AIR_DEFENSE_INFO","Dit luchtafweergeschut is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet de toren zo neer dat deze zoveel mogelijk luchtruim bestrijkt."
"TID_AIR_DEFENSE_SMALL_INFO","Houd vliegende lastpakken uit je buurt met salvo's kleine raketten! Net een elektrische vliegenmepper, maar dan mooier."
"TID_ALLIANCE_ACCEPTED_BY","Geaccepteerd door <name>"
"TID_ALLIANCE_BADGE_BROWSE","Zoeken"
"TID_ALLIANCE_BUTTON_EDIT","Bewerken"
"TID_ALLIANCE_BUTTON_LEAVE","Verlaten"
"TID_ALLIANCE_BUTTON_SEARCH","Zoeken"
"TID_ALLIANCE_CASTLE_INFO","In het clankasteel bevinden zich je schatkamer en de versterkingen of spreuken die je clangenoten je sturen."
"TID_ALLIANCE_CREATE_ARRANGED_WARS","Vriendschappelijke oorlogen"
"TID_ALLIANCE_CREATE_BADGE","Embleem:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Beschrijving:"
"TID_ALLIANCE_CREATE_NAME","Clannaam:"
"TID_ALLIANCE_CREATE_OK","Je hebt een nieuwe clan opgericht!"
"TID_ALLIANCE_CREATE_SHOW_LOG","Openbaar oorlogslogboek"
"TID_ALLIANCE_CREATE_TH_LEVEL","Minimale stadhuislevel:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Vereiste trofeeën voor deelname:"
"TID_ALLIANCE_CREATE_TYPE","Clantype:"
"TID_ALLIANCE_DATA_FAILED_DELETED","Deze clan is verwijderd en kan niet worden geladen."
"TID_ALLIANCE_DATA_FAILED_GENERIC","Claninfo kan niet worden geladen.\n\nProbeer het later opnieuw."
"TID_ALLIANCE_DATA_FAILED_LOAD_FAILED","Claninfo kan niet worden geladen.\n\nProbeer het later opnieuw."
"TID_ALLIANCE_DATA_FAILED_NOT_FOUND","Clan kan niet worden gevonden."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Ik wil me graag bij jullie clan aansluiten."
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","Opgelet clangenoten:"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","Ik heb versterkingen nodig."
"TID_ALLIANCE_DEMOTE_BUTTON","Degraderen naar <role>"
"TID_ALLIANCE_DONATE_BUTTON_QUICK","Snel doneren"
"TID_ALLIANCE_DONATE_BUTTON_RETURN","Ga terug"
"TID_ALLIANCE_DONATE_DONATED","Gedoneerde troepen en spreuken:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Gedoneerde troepen:"
"TID_ALLIANCE_DONATE_DONATE_INSTANTLY","Doneer onmiddellijk:"
"TID_ALLIANCE_DONATE_HEADER","Versterkingen doneren"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Spreuken doneren:"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Troepen doneren:"
"TID_ALLIANCE_EXP_EARNED","+<value> clan-XP"
"TID_ALLIANCE_GAMES_ABANDON_TASK","Wegdoen"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_HEADER","Wat zijn uitdagingen?"
"TID_ALLIANCE_GAMES_ABOUT_TASKS_INFO","Verdien punten voor je clan door uitdagingen te voltooien.\nElk clanlid heeft een quotum om te behalen. Speel actief en behaal de beste beloningen voor jou en je clan.\nKies een uitdaging die je zeker op tijd kunt voltooien."
"TID_ALLIANCE_GAMES_ALLIANCE_MISMATCH","Je moet je opnieuw aansluiten bij <alliance> om nu te kunnen blijven deelnemen aan de clanspelen of wachten tot de volgende clanspelen beginnen."
"TID_ALLIANCE_GAMES_CHECKING_RESULTS","Resultaten controleren..."
"TID_ALLIANCE_GAMES_CLAIM_REWARDS_BUTTON","Beloningen verzamelen"
"TID_ALLIANCE_GAMES_CLAN_TAB","Clan"
"TID_ALLIANCE_GAMES_COMPLETED_TASK","Voltooid"
"TID_ALLIANCE_GAMES_COMPLETE_TASK","Indienen"
"TID_ALLIANCE_GAMES_ENDING_IN","Resterende tijd:"
"TID_ALLIANCE_GAMES_EXPIRED_TASK","Geen tijd meer"
"TID_ALLIANCE_GAMES_NO_ALLIANCE","Je moet je bij een clan aansluiten om deel te kunnen nemen aan de clanspelen."
"TID_ALLIANCE_GAMES_NO_REWARDS_EARNED","Je clan heeft niet genoeg punten verdiend om beloningen te ontgrendelen."
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_HEADER","Afkoelperiode voor uitdagingen"
"TID_ALLIANCE_GAMES_PERSONAL_COOLDOWN_TEXT","We ruimen de boel even op voor de volgende uitdaging..."
"TID_ALLIANCE_GAMES_PERSONAL_PROGRESS","Je score:"
"TID_ALLIANCE_GAMES_PICK_TASK_HEADER","Kies een uitdaging"
"TID_ALLIANCE_GAMES_PICK_TASK_INFO","Kies een uitdaging uit de selectie links en begin eraan te werken."
"TID_ALLIANCE_GAMES_RESHUFFLE_BUTTON","Schudden"
"TID_ALLIANCE_GAMES_REVIVE_TASK","Meer tijd"
"TID_ALLIANCE_GAMES_REWARDS_AFTER_END","Als de clanspelen zijn afgelopen, kun je een beloning kiezen voor elke ontgrendelde beloningsdrempel."
"TID_ALLIANCE_GAMES_REWARDS_NO_POINTS","Je moet wat punten hebben verdiend voor een uitdaging om beloningen te krijgen."
"TID_ALLIANCE_GAMES_REWARDS_TAB","Beloningen"
"TID_ALLIANCE_GAMES_STARTING_IN","De clanspelen beginnen over:"
"TID_ALLIANCE_GAMES_START_TASK","Beginnen"
