"Name","VisualLevel","TID","InfoTID","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","AttackRange","AltAttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SmallPicture","SmallPictureSWF","Projectile","RageProjectile","PreferedTargetBuilding","DeployEffect","AttackEffect","AttackEffectAlt","HitEffect","HitEffectActive","IsFlying","AirTargets","GroundTargets","IsJumper","AttackCount","DieEffect","Animation","ActivationTime","ActiveDuration","AbilityAttackCount","AnimationActivated","MaxSearchRadiusForDefender","HousingSpace","HealerWeight","SpecialAbilityEffect","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilityTriggerEffect","AbilityAffectsHero","AbilityAffectsCharacter","AbilityRadius","AbilityTime","AbilityOnce","AbilityCooldown","AbilitySpeedBoost","AbilitySpeedBoost2","AbilityDamageBoostPercent","AbilitySummonTroop","AbilitySummonTroopCount","AbilityStealth","AbilityDamageBoostOffset","AbilityHealthIncrease","AbilityShieldProjectileSpeed","AbilityShieldProjectileDamageMod","AbilityTID","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","AbilityDelay","StrengthWeight","StrengthWeight2","AlertRadius","Scale","AuraSpell","AuraSpellLevel","AuraTID","AuraDescTID","AuraBigPictureExportName","AbilitySpell","AbilitySpellLevel","RetributionSpell","RetributionSpellLevel","RetributionSpellTriggerHealth","HasAltMode","AltModeFlying","AltModeAnimation","PreferedTargetBuildingClass","NoAttackOverWalls","TargetGroups","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","SmoothJump","WakeUpSpeed","WakeUpSpace","FriendlyGroupWeight","EnemyGroupWeight","AttackEffectShared","TargetedEffectOffset","TriggersTraps","VillageType","NoDefence","PreAttackEffect","AbilityAffectsSummonedUnits","DefaultSkin","AbilityProjectile","AbilityProjectileBounces","AbilityProjectileRange","AbilityProjectileCount","UseAutoHeroAbility","NewTargetAttackDelay","AbilityDamage","Gender","SpecialAbilities","SpecialAbilitiesLevel","AvoidNoiseInAttackPositionSelection","AbilityExtraPowerMaxLevel","PreviewScenario","AltPreviewScenario","ItemSlotCount","DefaultItems","MigrationGearLevel"
,10,,,,1805,11,,7000,7,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,2125,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,1
,11,,,,1850,12,,7500,8,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,2174,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2
,12,,,,1896,12,,8000,8,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,2227,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2
,13,,,,1943,12,,8500,8,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,2277,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2
,14,,,,1992,12,,9250,8,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,,,2334,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2
,15,,,,2042,12,,10000,8,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,2495,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2
,16,,,,2093,18,,10750,8,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,2556,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2
,17,,,,2145,18,,11500,8,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,2613,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2
,18,,,,2198,18,,12250,8,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,2680,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2
,19,,,,2253,18,,13000,8,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,,,2740,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2
,20,,,,2309,24,,14000,8,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,2927,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,2
,21,,,,2367,24,,14500,9,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,2997,1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3
,22,,,,2427,24,,15500,9,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,3069,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3
,23,,,,2487,24,,16000,9,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,3141,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3
,24,,,,2549,24,,17000,9,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,,,3220,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3
,25,,,,2613,24,,17500,9,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,3433,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,3
,26,,,,2678,24,,18500,9,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,3513,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4
,27,,,,2746,24,,19000,9,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,3596,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4
,28,,,,2814,24,,20000,9,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,3679,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4
,29,,,,2885,24,,20500,9,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,3770,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4
,30,,,,2956,30,,21500,9,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,4015,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,4
,31,,,,3030,30,,22000,10,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,4108,2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5
,32,,,,3107,30,,23000,10,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,4209,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5
,33,,,,3184,30,,23500,10,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,4310,2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5
,34,,,,3264,30,,24500,10,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,4414,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5
,35,,,,3346,36,,25000,10,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,4694,2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,5
,36,,,,3429,36,,26000,10,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,4800,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6
,37,,,,3515,36,,26500,10,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,4914,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6
,38,,,,3602,36,,27500,10,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,5035,3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6
,39,,,,3692,36,,28000,10,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,5154,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6
,40,,,,3785,42,,30000,10,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,5471,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,6
,41,,,,3879,42,,32000,11,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,5655,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7
,42,,,,3976,42,,34000,11,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,5792,3723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7
,43,,,,4076,42,,36000,11,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,5932,3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7
,44,,,,4178,42,,38000,11,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,6074,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7
,45,,,,4282,48,,40000,11,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,10000,,,26,13,155,,22,,478,1963,,,,,,,,6440,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,7
,46,,,,4389,48,,42000,11,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,10000,,,26,13,155,,22,,478,1963,,,,,,,,6593,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8
,47,,,,4499,48,,44000,11,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,10000,,,26,13,155,,22,,478,1963,,,,,,,,6756,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8
,48,,,,4611,48,,46000,11,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,10000,,,26,13,155,,22,,478,1963,,,,,,,,6915,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8
,49,,,,4727,48,,48000,11,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,10000,,,26,13,155,,22,,478,1963,,,,,,,,7084,4641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8
,50,,,,4845,60,,50000,11,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,10000,,,27,14,160,,24,,546,2263,,,,,,,,7506,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,8
,51,,,,4967,60,,52500,12,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,10000,,,27,14,160,,24,,546,2263,,,,,,,,7688,5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9
,52,,,,5092,60,,55000,12,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,10000,,,27,14,160,,24,,546,2263,,,,,,,,7874,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9
,53,,,,5219,60,,57500,12,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,10000,,,27,14,160,,24,,546,2263,,,,,,,,8063,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9
,54,,,,5350,60,,60000,12,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,10000,,,27,14,160,,24,,546,2263,,,,,,,,8262,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9
,55,,,,5484,66,,62500,12,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,10000,,,28,15,165,,26,,618,2592,,,,,,,,8747,5925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,9
,56,,,,5622,66,,65000,12,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,10000,,,28,15,165,,26,,618,2592,,,,,,,,8955,6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10
,57,,,,5763,66,,67500,12,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,10000,,,28,15,165,,26,,618,2592,,,,,,,,9174,6214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10
,58,,,,5908,66,,70000,12,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,10000,,,28,15,165,,26,,618,2592,,,,,,,,9397,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10
,59,,,,6055,66,,72500,12,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,10000,,,28,15,165,,26,,618,2592,,,,,,,,9622,6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10
,60,,,,6208,69,,75000,12,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10000,,,29,16,170,,28,,694,2980,,,,,,,,10180,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,10
,61,,,,6363,69,,77500,12,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10000,,,29,16,170,,28,,694,2980,,,,,,,,10417,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11
,62,,,,6522,69,,80000,12,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10000,,,29,16,170,,28,,694,2980,,,,,,,,10665,7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11
,63,,,,6685,69,,82500,12,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10000,,,29,16,170,,28,,694,2980,,,,,,,,10925,7511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11
,64,,,,6853,69,,85000,12,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10000,,,29,16,170,,28,,694,2980,,,,,,,,11185,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11
,65,,,,7024,72,,87500,12,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,10000,,,30,17,175,,30,,770,3400,,,,,,,,11813,7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,11
,66,,,,7200,72,,90000,13,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,10000,,,30,17,175,,30,,770,3400,,,,,,,,12098,8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12
,67,,,,7378,72,,92500,13,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,10000,,,30,17,175,,30,,770,3400,,,,,,,,12379,8253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12
,68,,,,7557,72,,95000,13,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,10000,,,30,17,175,,30,,770,3400,,,,,,,,12668,8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12
,69,,,,7735,72,,97500,13,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,10000,,,30,17,175,,30,,770,3400,,,,,,,,12962,8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12
,70,,,,7905,78,,100000,13,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,10000,,,31,18,180,,32,,846,3850,,,,,,,,13641,8826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,12
