"Name","Level","IconSWF","IconExportName","TID","InfoTID","Deprecated","AllowedCharacters","Rarity","Claimable","DiamondValue","RequiredBlacksmithLevel","RequiredCharacterLevel","UpgradeResources","UpgradeCosts","MainAbilities","MainAbilityLevels","ExtraAbilities","ExtraAbilityLevels","Speed","HitPoints","AttackRange","AttackSpeedPercentage","DPS","PreviewScenario","HealOnActivation","StrengthWeight"
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,,,,32,,375,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,,,,37,,450,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,,,,42,,525,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,,,,48,,600,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,,,,54,,675,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,,,,60,,780,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,,,,66,,900,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,,,,72,,1020,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,,,,79,,1155,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,,,,86,,1290,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,,,,94,,1410,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,,,,104,,1590,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,,,,112,,1695,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,,,,120,,1800,2100
,18,,,,,,,,,,7,,,,,"7",,,,,,,128,,1890,2600
"Archer Crown",1,"sc/ui.sc","icon_gear_AQ_ArcherDoll","TID_GEAR_TITLE_ARCHER_CROWN","TID_GEAR_INFO_ARCHER_CROWN",,"Archer Queen;","Common",,,1,1,"CommonOre","120","ArcherQueenSpawnArchers","1",,,,,,,26,"GearArcherCrown",160,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,,,,34,,175,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,,,,42,,190,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,,,,49,,205,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,,,,55,,220,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,,,,62,,235,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,,,,71,,250,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,,,,80,,265,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,,,,90,,280,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,,,,100,,295,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,,,,109,,310,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,,,,115,,325,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,,,,122,,340,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,,,,127,,360,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,,,,132,,380,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,,,,136,,400,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,,,,140,,420,2100
,18,,,,,,,,,,7,,,,,"7",,,,,,,144,,440,2600
"Royal Cloak",1,"sc/ui.sc","icon_gear_AQ_InvisVial","TID_GEAR_TITLE_ROYAL_CLOAK","TID_GEAR_INFO_ROYAL_CLOAK",,"Archer Queen;","Common",,,1,1,"CommonOre","120","ArcherQueenInvisibility","1",,,,80,,,,"GearRoyalCloak",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"2",,,,100,,,,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"3",,,,120,,,,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"4",,,,140,,,,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"5",,,,170,,,,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"6",,,,200,,,,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"7",,,,250,,,,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"8",,,,300,,,,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"9",,,,340,,,,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"10",,,,380,,,,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"11",,,,420,,,,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"12",,,,460,,,,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"13",,,,500,,,,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"14",,,,540,,,,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"15",,,,580,,,,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"16",,,,620,,,,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"17",,,,660,,,,,,2100
,18,,,,,,,,,,7,,,,,"18",,,,700,,,,,,2600
"Eternal Tome",1,"sc/ui.sc","icon_gear_GW_EternalTome","TID_GEAR_TITLE_ETERNAL_TOME","TID_GEAR_INFO_ETERNAL_TOME",,"Grand Warden;","Common",,,1,1,"CommonOre","120","GrandWardenInvulnerability","1",,,,,,,,"GearEternalTome",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"2",,,,,,,,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"3",,,,,,,,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"4",,,,,,,,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"5",,,,,,,,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"6",,,,,,,,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"7",,,,,,,,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"8",,,,,,,,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"9",,,,,,,,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"10",,,,,,,,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"11",,,,,,,,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"12",,,,,,,,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"13",,,,,,,,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"14",,,,,,,,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"15",,,,,,,,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"16",,,,,,,,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"17",,,,,,,,,,2100
,18,,,,,,,,,,7,,,,,"18",,,,,,,,,,2600
"Life Gem",1,"sc/ui.sc","icon_gear_GW_HealGem","TID_GEAR_TITLE_LIFE_GEM","TID_GEAR_INFO_LIFE_GEM",,"Grand Warden;","Common",,,1,1,"CommonOre","120","GrandWardenLifeAura","1",,,,150,,,10,"GearLifeGem",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,163,,,12,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,172,,,14,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,181,,,16,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,192,,,18,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,203,,,20,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,225,,,22,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,249,,,24,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,275,,,28,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,304,,,32,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,336,,,38,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,351,,,42,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,366,,,46,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,381,,,50,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,396,,,54,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,411,,,58,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,426,,,62,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,441,,,66,,,2600
"Seeking Shield",1,"sc/ui.sc","icon_gear_RC_SeekingShield","TID_GEAR_TITLE_SEEKING_SHIELD","TID_GEAR_INFO_SEEKING_SHIELD",,"Warrior Princess;","Common",,,1,1,"CommonOre","120","RoyalChampionShieldBounce","1",,,,40,,,,"GearSeekingShield",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,60,,,,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,80,,,,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,100,,,,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,120,,,,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,140,,,,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,160,,,,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,180,,,,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,200,,,,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,220,,,,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,240,,,,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,260,,,,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,280,,,,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,300,,,,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,320,,,,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,340,,,,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,360,,,,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,380,,,,,,2600
"Protective Cloak",1,"sc/ui.sc","icon_gear_RC_LifeGem","TID_GEAR_PROTECTIVE_CLOAK","TID_GEAR_INFO_PROTECTIVE_CLOAK",,"Warrior Princess;","Common",,,1,1,"CommonOre","120","RCProtectiveCloak","1",,,,40,,,20,"GearProtective",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,60,,,25,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,80,,,30,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,100,,,35,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,120,,,40,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,140,,,45,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,160,,,50,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,180,,,55,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,200,,,60,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,220,,,65,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,240,,,70,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,260,,,75,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,280,,,80,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,300,,,85,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,320,,,90,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,340,,,95,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,360,,,100,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,380,,,105,,,2600
"Earthquake Boots",1,"sc/ui.sc","icon_gear_BK_StompBoots","TID_GEAR_EARTHQUAKE_BOOTS","TID_GEAR_INFO_EARTHQUAKE_BOOTS",,"Barbarian King;","Common",,,1,1,"CommonOre","120","BarbarianKingEarthquakeBoots","1",,,,209,,,13,"GearEQboots",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,244,,,15,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,278,,,17,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,313,,,19,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,348,,,21,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,383,,,23,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,418,,,26,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,452,,,28,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,522,,,32,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,677,,,40,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,831,,,48,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,986,,,55,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,1140,,,63,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,1295,,,71,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,1449,,,79,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,1604,,,86,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,1758,,,94,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,1913,,,102,,,2600
"Hog Rider Puppet",1,"sc/ui.sc","icon_gear_RC_HogRiderDoll","TID_GEAR_HOG_TOTEM","TID_GEAR_INFO_HOG_TOTEM",,"Warrior Princess;","Common",,,7,1,"CommonOre","120","RCEquipSpawnHogs","1",,,,60,,,,"GearHogRiderPuppet",180,100
,2,,,,,,,,,,7,,"CommonOre","240",,"1",,,,90,,,,,220,200
,3,,,,,,,,,,7,,"CommonOre","360",,"2",,,,120,,,,,270,300
,4,,,,,,,,,,7,,"CommonOre","480",,"2",,,,150,,,,,320,400
,5,,,,,,,,,,7,,"CommonOre","600",,"2",,,,180,,,,,370,500
,6,,,,,,,,,,7,,"CommonOre","720",,"3",,,,210,,,,,420,600
,7,,,,,,,,,,7,,"CommonOre","840",,"3",,,,240,,,,,470,700
,8,,,,,,,,,,7,,"CommonOre","960",,"3",,,,270,,,,,520,800
,9,,,,,,,,,,7,,"CommonOre","1080",,"4",,,,300,,,,,560,900
,10,,,,,,,,,,7,,"CommonOre","1200",,"4",,,,330,,,,,610,1000
,11,,,,,,,,,,7,,"CommonOre","1320",,"4",,,,360,,,,,660,1100
,12,,,,,,,,,,7,,"CommonOre","1440",,"5",,,,390,,,,,700,1200
,13,,,,,,,,,,7,,"CommonOre","1560",,"5",,,,420,,,,,750,1300
,14,,,,,,,,,,7,,"CommonOre","1680",,"5",,,,450,,,,,800,1400
,15,,,,,,,,,,7,,"CommonOre","1800",,"6",,,,480,,,,,850,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,510,,,,,900,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,540,,,,,950,2100
,18,,,,,,,,,,7,,,,,"7",,,,570,,,,,1000,2600
"Giant Gauntlet",1,"sc/ui.sc","icon_gear_BK_GiantGauntlet","TID_GEAR_GIANT_GAUNTLET","TID_GEAR_INFO_GIANT_GAUNTLET",,"Barbarian King;","Epic",,,1,1,"CommonOre","120","BarbarianKingGetsBig","1","Regeneration","1",,,,,17,"GearGauntlet",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,"2",,,,,20,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,"3",,,,,23,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,"4",,,,,26,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,"5",,,,,29,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,"6",,,,,32,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,"7",,,,,34,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,"8",,,,,37,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,"9",,,,,43,,,900
,10,,,,,,,,,,1,,"CommonOre","1200",,"4",,"10",,,,,53,,,1000
,11,,,,,,,,,,1,,"CommonOre","1320",,"4",,"11",,,,,63,,,1100
,12,,,,,,,,,,1,,"CommonOre","1440",,"5",,"12",,,,,74,,,1200
,13,,,,,,,,,,3,,"CommonOre","1560",,"5",,"13",,,,,84,,,1300
,14,,,,,,,,,,3,,"CommonOre","1680",,"5",,"14",,,,,94,,,1400
,15,,,,,,,,,,3,,"CommonOre","1800",,"6",,"15",,,,,104,,,1900
,16,,,,,,,,,,5,,"CommonOre","1920",,"6",,"16",,,,,115,,,2000
,17,,,,,,,,,,5,,"CommonOre","2040",,"6",,"17",,,,,125,,,2100
,18,,,,,,,,,,5,,"CommonOre","2160",,"7",,"18",,,,,135,,,2600
,19,,,,,,,,,,7,,"CommonOre","2280",,"7",,"19",,,,,140,,,2700
,20,,,,,,,,,,7,,"CommonOre","2400",,"7",,"20",,,,,145,,,2800
,21,,,,,,,,,,7,,"CommonOre","2520",,"8",,"21",,,,,150,,,3300
,22,,,,,,,,,,8,,"CommonOre","2640",,"8",,"22",,,,,155,,,3400
,23,,,,,,,,,,8,,"CommonOre","2760",,"8",,"23",,,,,160,,,3500
,24,,,,,,,,,,8,,"CommonOre","2880",,"9",,"24",,,,,165,,,4000
,25,,,,,,,,,,9,,"CommonOre","3000",,"9",,"25",,,,,170,,,4100
,26,,,,,,,,,,9,,"CommonOre","3120",,"9",,"26",,,,,175,,,4200
,27,,,,,,,,,,9,,,,,"10",,"27",,,,,180,,,4700
"Vampstache",1,"sc/ui.sc","icon_gear_BK_VampStache","TID_GEAR_VAMPSTACHE","TID_GEAR_INFO_VAMPSTACHE",,"Barbarian King;","Common",,,3,1,"CommonOre","120","BarbarianKingVampstache","1",,,,,,5,9,"GearVampstache",,100
,2,,,,,,,,,,3,,"CommonOre","240",,"1",,,,,,6,10,,,200
,3,,,,,,,,,,3,,"CommonOre","360",,"2",,,,,,7,12,,,300
,4,,,,,,,,,,3,,"CommonOre","480",,"2",,,,,,8,13,,,400
,5,,,,,,,,,,3,,"CommonOre","600",,"2",,,,,,9,15,,,500
,6,,,,,,,,,,3,,"CommonOre","720",,"3",,,,,,10,16,,,600
,7,,,,,,,,,,3,,"CommonOre","840",,"3",,,,,,11,18,,,700
,8,,,,,,,,,,3,,"CommonOre","960",,"3",,,,,,12,19,,,800
,9,,,,,,,,,,3,,"CommonOre","1080",,"4",,,,,,13,22,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,,,14,27,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,,,15,32,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,,,16,37,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,,,17,42,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,,,18,48,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,,,19,53,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,,,20,58,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,,,21,63,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,,,22,68,,,2600
"Haste Vial",1,"sc/ui.sc","icon_gear_RC_HasteVial","TID_GEAR_TITLE_HASTE_VIAL","TID_GEAR_INFO_HASTE_VIAL",,"Warrior Princess;","Common",,,8,1,"CommonOre","120","RoyalChampionHaste","1",,,,,,5,20,"GearHasteVial",,100
,2,,,,,,,,,,8,,"CommonOre","240",,"1",,,,,,6,24,,,200
,3,,,,,,,,,,8,,"CommonOre","360",,"2",,,,,,6,28,,,300
,4,,,,,,,,,,8,,"CommonOre","480",,"2",,,,,,7,32,,,400
,5,,,,,,,,,,8,,"CommonOre","600",,"2",,,,,,8,36,,,500
,6,,,,,,,,,,8,,"CommonOre","720",,"3",,,,,,8,40,,,600
,7,,,,,,,,,,8,,"CommonOre","840",,"3",,,,,,9,44,,,700
,8,,,,,,,,,,8,,"CommonOre","960",,"3",,,,,,10,48,,,800
,9,,,,,,,,,,8,,"CommonOre","1080",,"4",,,,,,10,52,,,900
,10,,,,,,,,,,8,,"CommonOre","1200",,"4",,,,,,11,56,,,1000
,11,,,,,,,,,,8,,"CommonOre","1320",,"4",,,,,,12,60,,,1100
,12,,,,,,,,,,8,,"CommonOre","1440",,"5",,,,,,12,64,,,1200
,13,,,,,,,,,,8,,"CommonOre","1560",,"5",,,,,,13,68,,,1300
,14,,,,,,,,,,8,,"CommonOre","1680",,"5",,,,,,14,72,,,1400
,15,,,,,,,,,,8,,"CommonOre","1800",,"6",,,,,,14,76,,,1900
,16,,,,,,,,,,8,,"CommonOre","1920",,"6",,,,,,15,80,,,2000
,17,,,,,,,,,,8,,"CommonOre","2040",,"6",,,,,,16,84,,,2100
,18,,,,,,,,,,8,,,,,"7",,,,,,16,88,,,2600
"Rocket Spear",1,"sc/ui.sc","icon_gear_RC_RocketSpear","TID_GEAR_ROCKET_SPEAR","TID_GEAR_INFO_ROCKET_SPEAR",,"Warrior Princess;","Epic",,,1,1,"CommonOre","120","RocketSpears","1",,,,50,,,35,"GearRocketSpears",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,75,,,40,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,100,,,45,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,125,,,50,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,150,,,55,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,175,,,60,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,200,,,66,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,225,,,72,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,250,,,78,,,900
,10,,,,,,,,,,1,,"CommonOre","1200",,"4",,,,275,,,85,,,1000
,11,,,,,,,,,,1,,"CommonOre","1320",,"4",,,,300,,,92,,,1100
,12,,,,,,,,,,1,,"CommonOre","1440",,"5",,,,325,,,99,,,1200
,13,,,,,,,,,,3,,"CommonOre","1560",,"5",,,,350,,,105,,,1300
,14,,,,,,,,,,3,,"CommonOre","1680",,"5",,,,375,,,111,,,1400
,15,,,,,,,,,,3,,"CommonOre","1800",,"6",,,,400,,,117,,,1900
,16,,,,,,,,,,5,,"CommonOre","1920",,"6",,,,425,,,122,,,2000
,17,,,,,,,,,,5,,"CommonOre","2040",,"6",,,,450,,,127,,,2100
,18,,,,,,,,,,5,,"CommonOre","2160",,"7",,,,475,,,132,,,2600
,19,,,,,,,,,,7,,"CommonOre","2280",,"7",,,,500,,,136,,,2700
,20,,,,,,,,,,7,,"CommonOre","2400",,"7",,,,525,,,140,,,2800
,21,,,,,,,,,,7,,"CommonOre","2520",,"8",,,,550,,,144,,,3300
,22,,,,,,,,,,8,,"CommonOre","2640",,"8",,,,575,,,148,,,3400
,23,,,,,,,,,,8,,"CommonOre","2760",,"8",,,,600,,,152,,,3500
,24,,,,,,,,,,8,,"CommonOre","2880",,"9",,,,625,,,156,,,4000
,25,,,,,,,,,,9,,"CommonOre","3000",,"9",,,,650,,,160,,,4100
,26,,,,,,,,,,9,,"CommonOre","3120",,"9",,,,675,,,164,,,4200
,27,,,,,,,,,,9,,,,,"10",,,,700,,,168,,,4700
"Football",1,"sc/ui.sc","icon_gear_BK_Football","TID_GEAR_TITLE_FOOTBALL","TID_GEAR_INFO_FOOTBALL",,"Barbarian King;","Epic",,,1,1,"CommonOre","120","FootballBounce","1",,,,365,,,35,"GearFootball",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"1",,,,478,,,38,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"2",,,,590,,,42,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"2",,,,703,,,45,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"2",,,,815,,,49,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"3",,,,928,,,52,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"3",,,,1040,,,55,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"3",,,,1153,,,58,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"4",,,,1265,,,65,,,900
,10,,,,,,,,,,1,,"CommonOre","1200",,"4",,,,1378,,,76,,,1000
,11,,,,,,,,,,1,,"CommonOre","1320",,"4",,,,1490,,,88,,,1100
,12,,,,,,,,,,1,,"CommonOre","1440",,"5",,,,1603,,,101,,,1200
,13,,,,,,,,,,3,,"CommonOre","1560",,"5",,,,1715,,,112,,,1300
,14,,,,,,,,,,3,,"CommonOre","1680",,"5",,,,1828,,,124,,,1400
,15,,,,,,,,,,3,,"CommonOre","1800",,"6",,,,1940,,,135,,,1900
,16,,,,,,,,,,5,,"CommonOre","1920",,"6",,,,2053,,,148,,,2000
